id,sample_date,P-PO4,N-NH4,N-NO3,N-NO2,S-SO4,Cl,pH,EC,cm,TOC,IC,TC,TN,מהירות זרימה,עכירות,TON,Al,B,Ca,Co,Cu,Fe,K,Mg,Mn,Mo,Na,Zn,Notes
1,2019-10-28,0.02921356,0.014195533333333335,98.93384218,0.048857819999999996,54.066833333333335,393.6656,7.6,2619.0,,0.0,60.24,60.24,93.63,,,0.0,,,,,,,,,,,,,"זרימה קטנה רק למאגר, רדוד מאוד"
2,2019-10-28,0.03953838,0.003193508888888889,103.84389261,0.05120739,49.37103333333334,402.6589,7.56,2722.0,,0.9793,79.11,80.09,95.58,,,0.0,,,,,,,,,,,,,זרימה רדודה בתוך צמחיית נחלים
3,2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אין זרימה
4,2019-10-28,31.0873,0.15928624444444445,62.5519543,0.4994357,8.815626666666667,276.6679,7.18,1748.0,,21.39,33.44,54.83,57.98,,,0.0,,,,,,,,,,,,,זרימה רדודה . לפני מעביר מים מים עומדים. מים בצבע אדום
5,2019-10-28,0.0500009,0.020573583333333333,53.725473029999996,0.04822697,72.65186666666666,861.8344,7.57,4017.0,,0.5833,73.38,73.96,48.69,,,0.0,,,,,,,,,,,,,נדגם מהגשר
6,2019-10-28,0.040956969999999995,0.003004182222222222,48.86591,0,32.779046666666666,611.1719,6.8,2976.0,,0.0,81.13,81.13,44.01,,,0.0,,,,,,,,,,,,,עין שני - מים מבאר
7,2019-10-28,0.444,0.0846923,53.9715282,0.16971180000000002,59.4351,692.6235,7.98,3400.0,,0.6495,74.16,74.81,50.79,,,0.0,,,,,,,,,,,,,גשר אירי מוצף - זרימה חלשה
8,2019-10-28,0.16004,0.012521903333333334,38.0139368,0.0172732,57.1478,876.0168,8.05,3830.0,,0.5462,72.45,73.0,34.58,,,0.0,,,,,,,,,,,,,זרימה קטנה וצלולה
9,2019-10-28,0.63828,0.09924506666666669,4.18467826,0.03712174,58.50083333333333,698.1247,7.59,2931.0,,14.12,40.84,54.96,4.911,,,0.5899549333333329,,,,,,,,,,,,,מים עמוקים
10,2019-10-28,0.61005,0.1083435888888889,10.97134406,0.04197594,61.523599999999995,749.5316,7.71,3212.0,,12.65,47.34,59.99,11.36,,,0.23833641111110992,,,,,,,,,,,,,דיגום מאמצע הגשר. זרימה טובה. ריח ביובי (יש ערוץ שמזרים מים עכורים לפני נקודת הדיגום
11,2019-10-28,0.23448,0.034822269999999995,19.77308454,0.03538546,55.53966666666667,795.0378,8.05,3483.0,,4.059,63.83,67.89,19.77,,,0.0,,,,,,,,,,,,,זרימה רדודה אך מהירה וטורבולנטית
12,2019-10-28,0.5341,0.005466603333333334,16.405498679999997,0.05691132,76.13476666666666,1273.171,7.89,5015.0,,3.83,69.19,73.02,16.55,,,0.08212339666667035,,,,,,,,,,,,,"מים עכורים, זרימה לא נראית מהירה"
13,2019-10-28,0.37326,0.03047166888888889,17.94298007,0.041969929999999996,68.15563333333334,1067.078,7.99,4409.0,,3.655,66.96,70.61,17.93,,,0.0,,,,,,,,,,,,,"מים עכורים, זרימה מהירה, דיגום המגשר"
21,2019-10-28,0.02348531,0.04642402333333333,97.39242679,0.06140321,53.652899999999995,396.1834,7.71,2617.0,,0.4382,59.55,59.99,94.56,,,0.0,,,,,,,,,,,,,
22,2019-10-28,0.04995071,0.5590018,99.20672426,0.04823574,49.29316666666667,405.7713,7.75,2738.0,,0.09442,79.03,79.12,95.13,,,0.0,,,,,,,,,,,,,
1,2019-11-12,0.08149548,0.043102103333333336,82.75168957000001,0.04668043,54.173,395.7065,7.87,2612.0,18.0,0.0,64.55,64.55,95.73,,,12.888527896666659,0.0,0.13047,288.2,0.0,0.00379,0.01529,1.7836,57.455,0.00888,0.0,159.82,0.0,זרימה רדודה חלשה ובוצית
2,2019-11-12,0,0.014535476666666665,85.43835382,0.021726179999999998,51.18886666666666,416.8322,7.9,2778.0,10.0,1.771,81.84,83.61,96.98,,,11.505384523333333,0.0,0.11368,306.15,0.0,0.00409,0.01447,1.6958,63.563,0.01054,0.0,159.41,0.0,זרימה חלשה - אפיק מלא דשא וצמחייה
3,2019-11-12,7.492114,58.13227,0,0.00590927,17.316963333333334,177.7271,7.6,1809.0,2.0,255.2,123.5,378.7,75.35,,,17.21182073,0.04433,0.11524,95.3,0.0,0.00903,0.1932,33.316,39.106,0.17497,0.0,148.22,0.08989,"אפיק ראשי יבש לכיוון צפון, תעלה רדודה במקביל לכביש, עם זרימה רדודה ומסריחה בצצבע ירוק, המון ירוקת במים. דיגום מהתעלב מקבילה לכביש לפני משפך לערוץ ראשי"
4,2019-11-12,20.40309,1.801442222222222,204.864804,3.5794960000000002,1.6794033333333334,146.3032,7.78,2383.0,11.0,23.58,25.28,48.86,203.7,,,0.0,0.03021,0.11283,112.05,0.00309,0.09546,1.3545,58.134,104.64,0.15419,0.01851,156.5,0.44392,"מים אדומים, עומדים. נדגם מיד אחרי הגשר"
5,2019-11-12,0.07484095,0.037519058888888894,40.027524820000004,0.04171518,68.8291,860.2078,8.17,3977.0,40.0,0.286,78.32,78.61,54.41,,,14.303240941111106,0.0,0.22346,261.02,0.0,0.00323,0.00737,18.713,104.59,0.01734,0.00189,340.53,0.0,"מים עומדים, אפיק מלא צמחייה"
6,2019-11-12,0.00442725,0.02510582666666667,43.44468,0,33.26294,613.5175,7.13,2957.0,70.0,0.0,82.62,82.62,43.53,,,0.06021417333333545,0.0,0.2075,261.65,0.0,0.0,0.0195,2.1004,74.732,0.0,0.0,192.99,0.00185,מי מעיין שני
7,2019-11-12,0.4893323,0.13553073333333335,36.775150499999995,0.1526295,60.6719,710.7891,8.17,3443.0,10.0,1.318,78.07,79.39,51.04,,,13.976689266666668,0.0,0.2521,256.94,0.0,0.00344,0.01033,8.1984,95.673,0.10027,0.0,261.62,0.0,"גשר אירי, מים עומדים/זרימה איטית"
8,2019-11-12,0.8028126,0,36.87361296,0.04020704,117.60853333333334,1264.46,7.01,8021.0,10.0,567.7,108.7,676.4,155.2,,,118.28617999999999,0.15827,1.0867,201.62,0.03011,0.21275,0.57323,1131.1,173.85,0.60508,0.02273,670.13,0.57321,"מים אדומים-שחורים, זרימה רדודה אבל מהירה. גובה מוערך (לא היה ניתן לראות מרחוק בדיוק)"
9,2019-11-12,0.23288399999999998,0.06339723444444444,2.86015739,0.010540609999999999,44.42006666666666,595.5673,7.76,2544.0,10.0,9.899,38.49,48.39,3.485,,,0.5509047655555555,0.0,0.24534,122.34,0.0,0.0,0.01276,14.364,70.058,0.02311,0.00246,259.13,0.0,"זרימה רדודה, מים שקופים, לא ניתן למדוד גובה (הערכה)"
10,2019-11-12,0.09647337,22.54906888888889,16.462222,1.025068,72.1058,933.2598,7.29,5124.0,21.0,465.6,74.86,540.46,117.7,,,77.6636411111111,0.1949,0.64975,163.09,0.0149,0.11019,0.41717,540.22,119.73,0.31095,0.01457,467.96,0.27495,"מים אדומים חומים, זרימה איטית, דיגום אחרי מעביר מים"
11,2019-11-12,0.1313657,24.750405555555556,9.193828,6.496252,80.84586666666667,974.1613,7.15,5649.0,8.0,458.7,80.8,539.5,113.7,,,73.25951444444445,0.07659,0.65243,151.51,0.01469,0.07792,0.40263,578.85,119.71,0.34863,0.02089,528.9,0.20833,"מים אדומים, זרימה מהירה ורדוד, דיגום אחרי מעביר מים"
12,2019-11-12,0.34036,0.010851267777777777,13.6645995,0.1337705,85.31533333333333,1404.492,8.06,5521.0,34.0,5.373,69.52,74.89,15.88,,,2.070778732222223,0.0,0.44299,225.62,0.0,0.0,0.0,14.904,137.4,0.0705,0.00254,579.88,0.0,"מים עכורים, זרימה איטית, ערוץ פתוח"
13,2019-11-12,0.03599093,14.831273333333334,0.6879200000000001,12.0462,82.10276666666667,1163.497,7.32,5511.0,21.0,355.8,78.36,434.16,74.3,,,46.734606666666664,0.05579,0.5988,193.06,0.00817,0.03465,0.28231,298.58,128.61,0.22196,0.02088,569.45,0.11233,"מים אדומים, זרימה חזקה, דיגום אחרי גשר"
1,2019-11-25,0,0.9773866666666665,81.28813392,0.03560608,55.3666,382.8301,7.83,2514.0,8.0,0.8532,59.05,59.9,78.93,,,0.0,,,,,,,,,,,,,"זרימה בינונית רדוה, אפיק בוצי ורדוד. אין זרימה בערוץ הנחל למרות שרואים שם רטיבות"
2,2019-11-25,0.017912579999999997,0.21405945555555556,98.54409169,0.037218310000000004,55.91203333333333,429.939,8.0,2804.0,11.0,1.247,83.56,84.81,66.3,,,0.0,,,,,,,,,,,,,זרימה רדודה ואיטית באפיק מלא צמחייה. יש יצורים במים (ראשנים. צפרדעים?)
3,2019-11-25,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,יבש
4,2019-11-25,15.26532,1.3203244444444444,180.267638,3.194562,4.055433333333333,126.9354,7.66,2043.0,35.0,13.8,40.43,54.23,134.8,,,0.0,,,,,,,,,,,,,"אין כמעט מים בנקודת דיגום רגילה (אחרי גשר). נדגם כמה מ' לפני גשר מבריכה של מים עומדים, אדומים וקרים"
5,2019-11-25,0.26253590000000004,0.3320187888888889,31.16961801,0.04206199,85.02463333333334,1032.784,8.27,4357.0,48.0,1.751,91.78,93.53,24.35,,,0.0,,,,,,,,,,,,,"מים צלולים וקרירים. בריכה לפני גשר, זרימה איטית"
6,2019-11-25,0.00458369,0.3520587777777778,46.40449,0,33.7643,621.9977,7.07,2884.0,85.0,0.0,80.58,80.58,37.43,,,0.0,,,,,,,,,,,,,מים צלולים ופושרים מהמעיין
7,2019-11-25,0.2932396,0.47082948888888887,52.9891809,0.14262909999999998,66.824,749.9673,8.2,3510.0,10.0,0.0,83.05,83.05,44.0,,,0.0,,,,,,,,,,,,,"זרימה איטית ועכורה בגשר אירי, תנועת טרקטורים ערה דרכב"
8,2019-11-25,0.5155792,1.7211366666666665,41.285259,0.30955099999999997,64.05133333333333,916.9,8.1,3915.0,11.0,1.824,85.42,87.24,33.71,,,0.0,,,,,,,,,,,,,זרימה מהירה ורדודה. מים צלולים וקרירים
9,2019-11-25,0.05905652,0.3515646555555556,2.72380323,0.01032377,50.06966666666667,635.8127,7.92,2512.0,26.0,10.57,40.61,51.18,3.188,,,0.10230834444444437,,,,,,,,,,,,,"נחל ירקרק, זרימה בינונית"
10,2019-11-25,0.1981011,0.8475156666666668,14.103726210000001,0.08544379,56.033966666666664,718.764,8.08,2924.0,19.0,6.517,52.17,58.69,11.73,,,0.0,,,,,,,,,,,,,"זרימה ינונית, ערוץ משנים עם זרימה קטנה ועכורה"
11,2019-11-25,0.2522098,0.8597166666666666,12.9770256,0.13943440000000001,55.44823333333333,730.0378,8.31,2979.0,11.0,6.621,54.33,60.95,11.87,,,0.0,,,,,,,,,,,,,"מים קרורים וצלולים, זרימה מהירה"
12,2019-11-25,0.4068908,1.040508,19.738493000000002,2.0558769999999997,77.14033333333333,1029.107,8.04,4178.0,38.0,4.171,75.32,79.49,17.8,,,0.0,,,,,,,,,,,,,"מים עכורים, זרימה איטית בינונית"
13,2019-11-25,0.4174855,1.184991111111111,15.355509000000001,1.3638510000000001,67.68053333333333,928.0081,8.18,3681.0,20.0,5.178,66.77,71.95,15.4,,,0.0,,,,,,,,,,,,,"זרימה מהירה, עכירות בינונית"
27,2019-11-25,0.2158514,0.3597183333333333,57.654233,0.146047,66.69556666666666,757.7018,8.28,3511.0,13.0,0.00253,82.85,82.85,45.52,,,0.0,,,,,,,,,,,,,"כמה מ' אחרי הגשר האירי (נק,' 7), אזור עם זרימה רדודה אבל מהירה. נדגם מיד אחרי משטח אבן."
1,2019-12-10,0.00367612,0,100.87064212,0.03375788,54.816900000000004,406.8648,7.86,2626.0,5.0,3.802,70.99,74.79,77.78,,,0.0,0.0,0.11822,275.84,0.0,0.0,0.00348,4.7305,54.238,0.00243,0.0,153.11,0.0,"צלולה ורדודה, זרימה בינונית מהירה"
2,2019-12-10,0.05898019,0.0040132944444444445,84.94822095,0.02966905,58.95053333333333,509.3367,7.96,3011.0,13.0,6.728,85.69,92.42,82.67,,,0.0,0.0,0.11246,316.54,0.0,0.0,0.00727,4.885,68.782,0.00532,0.0,173.58,0.0,זרימה חלשה ורדודה בעשביית נחל
3,2019-12-10,0.0398093,0.047539333333333336,3.2816609000000003,0.1603391,5.7940933333333335,60.18607,8.54,575.6,6.0,8.315,45.39,53.7,3.579,,,0.08946066666666663,0.0,0.0269,68.402,0.0,0.00405,0.00762,8.5168,11.843,0.00041,0.0,28.851,0.0,"מים צלולים, זרימה איטית ורדודה מגיעה מנקז מכיוון מערב במקביל לכביש (נגר?)"
4,2019-12-10,1.08499,0.04565210222222223,2.3325409099999996,0.0015590900000000002,5.684613333333334,23.36894,7.79,352.7,36.0,16.29,30.19,46.48,2.622,,,0.24224789777777778,1.0981,0.08665,36.281,0.00126,0.01495,0.86011,8.8469,9.7825,0.0267,0.0,24.96,0.04297,"אין זרימה אחרי הגשר, נדגשם בבריכה כמה מ' מאחורי גשר. מים עכורים (אך לא אדומים)"
5,2019-12-10,0.5743252999999999,0.01600610666666667,28.814339519999997,0.02072048,62.2597,782.2159,8.14,3434.0,40.0,9.881,78.65,88.53,23.25,,,0.0,0.0,0.19506,246.63,0.0,0.00561,0.00763,28.346,90.486,0.03871,0.0028,267.24,0.0,בריכה לפני גשר. מים עכורים.
6,2019-12-10,0.008807800000000001,0.007593646666666668,37.0914,0,32.093426666666666,623.4213,6.98,2936.0,86.0,2.682,77.78,80.46,39.55,,,2.4510063533333337,0.0,0.20672,256.32,0.0,0.0,0.0,2.6986,72.11,0.0,0.0,183.49,0.0,מעיין צלול
7,2019-12-10,0.76056,0.08209273333333333,44.8576889,0.3568911,56.91973333333333,664.5472,7.96,3128.0,19.0,10.78,76.5,87.28,34.92,,,0.0,0.17986,0.21277,236.3,0.0,0.0,0.1422,16.616,85.512,0.14444,0.0,236.08,0.0,זרימה מהירה רדודה וקצת עכורה
8,2019-12-10,1.96022,0.8876544444444444,5.835507,2.944563,49.28823333333333,711.1831,7.79,3093.0,17.0,45.37,86.58,131.95,11.39,,,1.722275555555557,0.04113,0.4112,185.37,0.00238,0.00732,0.11854,39.369,83.325,0.4672,0.00279,272.86,0.03559,"זרימה רדודה בינונית-מהירה, צבע חום"
9,2019-12-10,0.88284,0.18034333333333333,21.948951,1.103519,48.808699999999995,732.245,7.57,3204.0,16.0,17.4,84.82,102.22,19.92,,,0.0,0.03486,0.37269,182.25,0.00222,0.00333,0.05914,24.287,82.625,0.22201,0.00394,296.15,0.00585,זרימה רדודה מאד. לא כל האפיק מלא. מעט עכור
10,2019-12-10,1.76833,0.64848,9.76507947368421,2.8278205263157896,51.241299999999995,724.9923,7.78,3202.0,17.0,42.36,87.21,129.57,14.48,,,1.238620000000001,0.02918,0.43593,191.78,0.00237,0.00618,0.10485,37.009,86.437,0.431,0.00288,291.35,0.02248,"מים עכורים, זרימה איטית בינונית"
11,2019-12-10,1.07623,2.3605244444444446,8.888024,1.763106,51.69313333333333,710.8301,7.8,3285.0,20.0,40.68,93.81,134.49,12.73,,,0.0,0.04371,0.44746,189.16,0.0027,0.00705,0.1241,40.547,89.737,0.37457,0.00332,305.73,0.06,זרימה בינונית ועכורה
