sample_date,open_dam
28/10/2019 00:00,open
12/11/2019 00:00,closed
25/11/2019 00:00,closed
10/12/2019 00:00,closed
24/12/2019 00:00,closed
08/01/2020 00:00,closed
21/01/2020 00:00,closed
26/01/2020 00:00,no_data
03/02/2020 00:00,closed
18/02/2020 00:00,closed
03/03/2020 00:00,closed
18/03/2020 00:00,closed
21/04/2020 00:00,closed
06/05/2020 00:00,closed
19/05/2020 00:00,closed
02/06/2020 00:00,closed
16/06/2020 00:00,closed
01/07/2020 00:00,closed
15/07/2020 00:00,closed
28/07/2020 00:00,closed
12/08/2020 00:00,no_data
01/09/2020 00:00,open
23/09/2020 00:00,open
05/11/2020 00:00,open
27/01/2021 00:00,no_data
15/02/2021 00:00,closed
11/03/2021 00:00,no_data
24/03/2021 00:00,closed
27/04/2021 00:00,closed
26/05/2021 00:00,closed
28/06/2021 00:00,open
28/07/2021 00:00,open
25/08/2021 00:00,closed
29/09/2021 00:00,open
26/12/2021 00:00,closed
