"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",16,0,0.149,0.038,0.047,0.049,0.038,0.01,0.02,"a"
"dry2dry5_Middlestream","poll",19,0,0.169,0.054,0.045,0.047,0.043,0.01,0.021,"a"
"dry2dry5_Upstream","poll",12,0,0.143,0.053,0.058,0.051,0.045,0.013,0.029,"a"
"dry2wet5_Downstream","poll",12,0.027,0.136,0.046,0.044,0.056,0.033,0.009,0.021,"a"
"dry2wet5_Middlestream","poll",15,0,0.057,0.033,0.044,0.027,0.022,0.006,0.012,"a"
"dry2wet5_Upstream","poll",9,0,0.046,0.025,0.041,0.024,0.019,0.006,0.015,"a"
"other_Downstream","poll",36,0,0.155,0.018,0.034,0.023,0.031,0.005,0.01,"a"
"other_Middlestream","poll",42,0,0.115,0.017,0.031,0.019,0.024,0.004,0.007,"a"
"other_Upstream","poll",21,0,0.053,0,0.021,0.014,0.019,0.004,0.009,"a"
"wet2wet5_Downstream","poll",12,0,0.081,0.029,0.023,0.03,0.022,0.006,0.014,"a"
"wet2wet5_Middlestream","poll",20,0,1.098,0.021,0.037,0.085,0.243,0.054,0.114,"a"
"wet2wet5_Upstream","poll",11,0,0.037,0,0.017,0.011,0.014,0.004,0.01,"a"
