"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",20,0,0.107,0.015,0.027,0.021,0.029,0.006,0.013,"a"
"2","poll",19,0,0.07,0,0.032,0.015,0.023,0.005,0.011,"a"
"3","poll",14,0,0.143,0.03,0.033,0.037,0.038,0.01,0.022,"a"
"4","poll",18,0,1.098,0.021,0.034,0.082,0.254,0.06,0.126,"a"
"5","poll",18,0,0.169,0,0.039,0.027,0.044,0.01,0.022,"a"
"7","poll",20,0,0.18,0.022,0.051,0.035,0.044,0.01,0.021,"a"
"8","poll",20,0,0.115,0.02,0.036,0.026,0.028,0.006,0.013,"a"
"9","poll",20,0,0.153,0.026,0.043,0.031,0.036,0.008,0.017,"a"
"10","poll",19,0,0.155,0.028,0.043,0.038,0.047,0.011,0.022,"a"
"11","poll",19,0,0.069,0.028,0.032,0.025,0.02,0.004,0.009,"a"
"12","poll",19,0,0.136,0.037,0.028,0.041,0.034,0.008,0.017,"a"
"13","poll",19,0,0.084,0.023,0.045,0.035,0.03,0.007,0.015,"a"
