"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",0.0491925000000003,0.0194931518387274,213,0.0107683030816103,0.0876166969183902,"Emmeans test"
"dry2dry5_Middlestream",0.0470584210526315,0.0178881429381277,213,0.0117979597149539,0.082318882390309,"Emmeans test"
"dry2dry5_Upstream",0.0509508333333333,0.022508752922887,213,0.00658239246487794,0.0953192742017886,"Emmeans test"
"dry2wet5_Downstream",0.0559691666666646,0.0225087529228869,213,0.0116007257982095,0.10033760753512,"Emmeans test"
"dry2wet5_Middlestream",0.0269340000000001,0.020132440649729,213,-0.0127503399350182,0.0666183399350185,"Emmeans test"
"dry2wet5_Upstream",0.023868888888889,0.0259908691183031,213,-0.0273633736689643,0.0751011514467422,"Emmeans test"
"other_Downstream",0.0225041666666668,0.0129954345591516,213,-0.00311196461225986,0.0481202979455934,"Emmeans test"
"other_Middlestream",0.0194140476190477,0.0120314345201413,213,-0.0043018815973949,0.0431299768354903,"Emmeans test"
"other_Upstream",0.0137719047619048,0.0170150178731878,213,-0.0197674839802687,0.0473112935040783,"Emmeans test"
"wet2wet5_Downstream",0.0301733333333334,0.022508752922887,213,-0.0141951075351218,0.0745417742017887,"Emmeans test"
"wet2wet5_Middlestream",0.0852360000000006,0.0174352050428477,213,0.0508683534838575,0.119603646516144,"Emmeans test"
"wet2wet5_Upstream",0.0110745454545456,0.0235096256838127,213,-0.0352667796541924,0.0574158705632836,"Emmeans test"
