"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,0.0806624101130557,0.935786170443144,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,-0.0590514751292158,0.952966472552988,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,-0.227586064336831,0.820186359854038,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,0.794289114711346,0.427911197035624,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,0.779461771619727,0.436572938226881,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,1.13917111963749,0.255911304417286,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,1.29996214555471,0.195018934913287,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,1.36893420395917,0.172461717255423,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,0.638735458234298,0.523681261312363,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,-1.37818855246887,0.169591062091096,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,1.24813620961103,0.213351457125277,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,-0.135382756891779,0.89243710995659,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,-0.309926395302513,0.756919940024514,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,0.747247223009623,0.455738443977379,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,0.734968912137689,0.463166853279167,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,1.11053282526851,0.268021569260914,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,1.28233419132965,0.201119276180851,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,1.34828822031869,0.178997684652547,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,0.587283556043542,0.557635296841597,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",213,-1.52836055892381,0.1279066911906,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",213,1.21808724441855,0.224538374630364,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",213,-0.157649672658896,0.874882207195333,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",213,0.795294644141303,0.4273274637862,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",213,0.787662221945568,0.431769938484268,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",213,1.09448693451478,0.274977596318303,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Middlestream",213,1.2356451204588,0.217951561229125,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",213,1.3176440750258,0.189038308188708,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",213,0.652719908403481,0.514640710786998,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",213,-1.20418951014953,0.22985276810673,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",213,1.22516819248728,0.221864930542408,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",213,0.961471990135333,0.337405099700469,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",213,0.933617457615738,0.351558394455019,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",213,1.28756756258033,0.199293757140248,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Middlestream",213,1.43226880786769,0.153532788970369,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",213,1.49549689212528,0.136264936115,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",213,0.810369581062378,0.418632261680471,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",213,-1.02793181780159,0.305147790062917,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",213,1.37935261401582,0.169232545410168,1,"ns"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",213,0.0932320918981398,0.925806815078251,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",213,0.184866032891455,0.853510014451789,1,"ns"
