"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,0.238535185040419,0.811695360528445,1,"ns"
"id","poll","1","3",213,-0.573102867561321,0.567179573575508,1,"ns"
"id","poll","1","4",213,-2.37626163798022,0.0183750764868521,1,"ns"
"id","poll","1","5",213,-0.238102835779122,0.812030230119714,1,"ns"
"id","poll","1","7",213,-0.550850834190683,0.582313233683654,1,"ns"
"id","poll","1","8",213,-0.175365993055448,0.860958654551926,1,"ns"
"id","poll","1","9",213,-0.389597960895075,0.697223119791071,1,"ns"
"id","poll","1","10",213,-0.645507687972037,0.519292985099063,1,"ns"
"id","poll","1","11",213,-0.157108327763126,0.875308296955671,1,"ns"
"id","poll","1","12",213,-0.769624635841833,0.442375240056794,1,"ns"
"id","poll","1","13",213,-0.5214114815708,0.602621862442684,1,"ns"
"id","poll","2","3",213,-0.78395048980339,0.433940067929901,1,"ns"
"id","poll","2","4",213,-2.57951316292501,0.0105668216081335,0.69741022613681,"ns"
"id","poll","2","5",213,-0.467519084118404,0.640606490064239,1,"ns"
"id","poll","2","7",213,-0.782277968737555,0.434920007977309,1,"ns"
"id","poll","2","8",213,-0.411638296284459,0.681018468828962,1,"ns"
"id","poll","2","9",213,-0.623105864852597,0.533881557307051,1,"ns"
"id","poll","2","10",213,-0.872922394197225,0.38368838118204,1,"ns"
"id","poll","2","11",213,-0.390666666728736,0.696434087690319,1,"ns"
"id","poll","2","12",213,-0.995478060446489,0.320633349560225,1,"ns"
"id","poll","2","13",213,-0.750387208507159,0.453849641179119,1,"ns"
"id","poll","3","4",213,-1.60608090849469,0.109737612642633,1,"ns"
"id","poll","3","5",213,0.343340748427234,0.731680772649953,1,"ns"
"id","poll","3","7",213,0.0732138809794188,0.941704626549827,1,"ns"
"id","poll","3","8",213,0.413960822005171,0.679319328389628,1,"ns"
"id","poll","3","9",213,0.219548479044596,0.826433073637897,1,"ns"
"id","poll","3","10",213,-0.0201265865591756,0.983961232347371,1,"ns"
"id","poll","3","11",213,0.424094776049553,0.671924691439946,1,"ns"
"id","poll","3","12",213,-0.133016578229054,0.894305849792306,1,"ns"
"id","poll","3","13",213,0.0927445398046093,0.926193684975289,1,"ns"
"id","poll","4","5",213,2.08401941215972,0.0383509895403795,1,"ns"
"id","poll","4","7",213,1.84010280705935,0.0671445677088339,1,"ns"
"id","poll","4","8",213,2.20557291431145,0.0284832324364709,1,"ns"
"id","poll","4","9",213,1.99705482866394,0.0470919711882516,1,"ns"
"id","poll","4","10",213,1.71846781731186,0.0871643673930241,1,"ns"
"id","poll","4","11",213,2.19416193662003,0.0293050544020412,1,"ns"
"id","poll","4","12",213,1.59757965279239,0.111618985992009,1,"ns"
"id","poll","4","13",213,1.83933577993219,0.0672577155764903,1,"ns"
"id","poll","5","7",213,-0.298055995141749,0.765950960192477,1,"ns"
"id","poll","5","8",213,0.0674141121103486,0.946315272664902,1,"ns"
"id","poll","5","9",213,-0.141103973537156,0.887921162384697,1,"ns"
"id","poll","5","10",213,-0.393526261494745,0.694324459482204,1,"ns"
"id","poll","5","11",213,0.0821678578134227,0.93459039431054,1,"ns"
"id","poll","5","12",213,-0.514414426014219,0.607495599861518,1,"ns"
"id","poll","5","13",213,-0.27265829887442,0.785380041290332,1,"ns"
"id","poll","7","8",213,0.375484841135234,0.707673574114356,1,"ns"
"id","poll","7","9",213,0.161252873295607,0.872047083252276,1,"ns"
"id","poll","7","10",213,-0.101764904274902,0.919039017256318,1,"ns"
"id","poll","7","11",213,0.386634455934009,0.699412817179298,1,"ns"
"id","poll","7","12",213,-0.2258818521447,0.82150990793331,1,"ns"
"id","poll","7","13",213,0.022331302126335,0.982204585390642,1,"ns"
"id","poll","8","9",213,-0.214231967839627,0.830571115164526,1,"ns"
"id","poll","8","10",213,-0.472404576727997,0.637121687979747,1,"ns"
"id","poll","8","11",213,0.0159947834809137,0.987253525276476,1,"ns"
"id","poll","8","12",213,-0.596521524597794,0.551460336193207,1,"ns"
"id","poll","8","13",213,-0.34830837032676,0.727952615393708,1,"ns"
"id","poll","9","10",213,-0.26093700815986,0.794393193826479,1,"ns"
"id","poll","9","11",213,0.227462352049051,0.82028242163724,1,"ns"
"id","poll","9","12",213,-0.385053956029657,0.700581660705645,1,"ns"
"id","poll","9","13",213,-0.136840801758623,0.891285886826373,1,"ns"
"id","poll","10","11",213,0.482255727468489,0.63011948796972,1,"ns"
"id","poll","10","12",213,-0.122555666249264,0.902574517663152,1,"ns"
"id","poll","10","13",213,0.122535185690066,0.902590716952442,1,"ns"
"id","poll","11","12",213,-0.604811393717754,0.54594808233305,1,"ns"
"id","poll","11","13",213,-0.359720541778423,0.7194125228281,1,"ns"
"id","poll","12","13",213,0.245090851939331,0.806622052361742,1,"ns"
