"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",20,0.087,0.175,0.129,0.039,0.136,0.024,0.005,0.011,"a"
"2","poll",19,0.101,0.168,0.126,0.042,0.135,0.023,0.005,0.011,"a"
"3","poll",14,0.027,0.223,0.182,0.061,0.161,0.069,0.019,0.04,"a"
"4","poll",18,0.026,0.243,0.164,0.064,0.153,0.061,0.014,0.03,"a"
"5","poll",18,0.097,0.262,0.192,0.039,0.187,0.041,0.01,0.02,"ab"
"7","poll",20,0.101,0.278,0.223,0.043,0.215,0.044,0.01,0.021,"ab"
"8","poll",20,0.161,0.473,0.353,0.083,0.332,0.079,0.018,0.037,"c"
"9","poll",20,0.138,0.373,0.282,0.057,0.279,0.058,0.013,0.027,"bc"
"10","poll",19,0.207,0.436,0.325,0.083,0.337,0.06,0.014,0.029,"c"
"11","poll",19,0.195,1.103,0.352,0.134,0.451,0.255,0.059,0.123,"d"
"12","poll",19,0.174,0.685,0.357,0.126,0.349,0.109,0.025,0.052,"cd"
"13","poll",19,0.184,0.576,0.364,0.119,0.35,0.089,0.02,0.043,"cd"
