"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",0.378678750000001,0.0256903650954293,213,0.328038830119473,0.429318669880528,"Emmeans test"
"dry2dry5_Middlestream",0.240268421052631,0.0235750958470823,213,0.193798043522481,0.286738798582782,"Emmeans test"
"dry2dry5_Upstream",0.157744999999998,0.0296646784068518,213,0.0992710572504713,0.216218942749526,"Emmeans test"
"dry2wet5_Downstream",0.287420833333333,0.0296646784068517,213,0.228946890583806,0.34589477608286,"Emmeans test"
"dry2wet5_Middlestream",0.222333999999999,0.0265328949793563,213,0.170033315639849,0.274634684360148,"Emmeans test"
"dry2wet5_Upstream",0.137002222222221,0.0342538201272391,213,0.0694823290481848,0.204522115396258,"Emmeans test"
"other_Downstream",0.417238055555556,0.0171269100636195,213,0.383478108968538,0.450998002142574,"Emmeans test"
"other_Middlestream",0.262155,0.0158564375838957,213,0.230899362882491,0.293410637117509,"Emmeans test"
"other_Upstream",0.151800476190476,0.0224243890820679,213,0.107598330278283,0.19600262210267,"Emmeans test"
"wet2wet5_Downstream",0.309569166666667,0.0296646784068518,213,0.25109522391714,0.368043109416194,"Emmeans test"
"wet2wet5_Middlestream",0.186253000000001,0.0229781610880671,213,0.1409592787088,0.231546721291202,"Emmeans test"
"wet2wet5_Upstream",0.110112727272727,0.0309837460904661,213,0.0490386859427753,0.171186768602679,"Emmeans test"
