"id","emmean","se","df","conf.low","conf.high","method"
"1",0.135607,0.0215900467670903,213,0.0930494795272062,0.178164520472794,"Emmeans test"
"2",0.134996315789474,0.0221509206035407,213,0.0913332210659665,0.178659410512982,"Emmeans test"
"3",0.160567142857142,0.0258050415728939,213,0.109701176845725,0.21143310886856,"Emmeans test"
"4",0.152627777777778,0.0227579075245201,213,0.107768212356686,0.19748734319887,"Emmeans test"
"5",0.186753888888889,0.0227579075245201,213,0.141894323467797,0.23161345430998,"Emmeans test"
"7",0.2152865,0.0215900467670902,213,0.172728979527206,0.257844020472794,"Emmeans test"
"8",0.331837,0.0215900467670903,213,0.289279479527205,0.374394520472794,"Emmeans test"
"9",0.279217,0.0215900467670903,213,0.236659479527206,0.321774520472794,"Emmeans test"
"10",0.336546315789474,0.0221509206035407,213,0.292883221065967,0.380209410512982,"Emmeans test"
"11",0.451412631578947,0.0221509206035407,213,0.40774953685544,0.495075726302455,"Emmeans test"
"12",0.348844210526316,0.0221509206035407,213,0.305181115802809,0.392507305249824,"Emmeans test"
"13",0.349686842105263,0.0221509206035407,213,0.306023747381756,0.393349936828771,"Emmeans test"
