"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,3.96954749764787,9.84463728483188e-05,0.00649746060798904,"**"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,5.62993518712243,5.64973367448992e-08,3.72882422516335e-06,"****"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,2.32547610378747,0.0209874430385011,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,4.23328793422633,3.42411094247687e-05,0.00225991322203474,"**"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,5.64436963538778,5.25255156911721e-08,3.46668403561736e-06,"****"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,-1.24884490421939,0.21309259709269,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,3.85971133175023,0.0001505018901164,0.00993312474768243,"**"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,6.65321286022458,2.3823533128427e-10,1.57235318647618e-08,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,1.76108211160904,0.0796593995460547,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,5.58285899562054,7.15958966467766e-08,4.72532917868726e-06,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,6.67260246986898,2.13590261812351e-10,1.40969572796151e-08,"****"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,2.1778779234801,0.0305133763458722,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,-1.2444006372382,0.214719702036496,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,0.50528925791369,0.613878124045087,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,2.48340163750167,0.0137850471256819,0.909813110295005,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,-6.0731665660723,5.6901131611527e-09,3.75547468636079e-07,"****"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,-0.770343005549621,0.441950021305501,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,2.71901825399634,0.00708750091055798,0.467775060096827,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,-1.82891792449149,0.0688102135213648,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",213,1.64076730352207,0.102321549827227,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",213,3.34306960969834,0.000978746340535986,0.0645972584753751,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",213,-3.09103843461315,0.00226098675222935,0.149225125647137,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",213,-1.62286600715208,0.106097148575207,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",213,0.457761093063634,0.647590700833217,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",213,-7.57559462248722,1.07672933178557e-12,7.10641358978474e-11,"****"
"grop","poll","dry2dry5_Upstream","other_Middlestream",213,-3.10406078006959,0.0021679504959421,0.143084732732179,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",213,0.159856427760331,0.873145660951424,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",213,-3.61898067208446,0.000369490410381192,0.0243863670851587,"*"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",213,-0.759743711862262,0.448247844333523,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",213,1.1104374086872,0.268062570009005,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",213,1.63537458901425,0.103447433904474,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",213,3.31950660499797,0.00106070887858216,0.0700067859864228,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",213,-3.7898611524205,0.000196203740477935,0.0129494468715437,"*"
"grop","poll","dry2wet5_Downstream","other_Middlestream",213,0.751141483821217,0.453396583392797,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",213,3.64701808237521,0.000333556545715473,0.0220147320172212,"*"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",213,-0.527942237471318,0.59808898686178,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",213,2.69614231856751,0.0075754738749144,0.499981275744351,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",213,4.13353263575114,5.13640776045352e-05,0.00339002912189932,"**"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",213,1.96943562474755,0.0501993996588923,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",213,-6.17166579454851,3.36356349818689e-09,2.21995190880335e-07,"****"
"grop","poll","dry2wet5_Middlestream","other_Middlestream",213,-1.28829327969223,0.199041576181664,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Upstream",213,2.03034266295096,0.0435647788918903,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Downstream",213,-2.19187457015253,0.02947224079734,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Middlestream",213,1.02795689360363,0.305136021458571,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Upstream",213,2.75106100106415,0.00645173942357395,0.425814801955881,"ns"
"grop","poll","dry2wet5_Upstream","other_Downstream",213,-7.31744804797799,5.08073346867191e-12,3.35328408932346e-10,"****"
"grop","poll","dry2wet5_Upstream","other_Middlestream",213,-3.31566799772846,0.00107465204434768,0.0709270349269472,"ns"
"grop","poll","dry2wet5_Upstream","other_Upstream",213,-0.361451876367288,0.718119954892816,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Downstream",213,-3.80828613996781,0.000183014668464908,0.0120789681186839,"*"
"grop","poll","dry2wet5_Upstream","wet2wet5_Middlestream",213,-1.19404330919375,0.23378909464629,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Upstream",213,0.58217691055318,0.561063229436995,1,"ns"
"grop","poll","other_Downstream","other_Middlestream",213,6.64450566256575,2.50193099385302e-10,1.65127445594299e-08,"****"
"grop","poll","other_Downstream","other_Upstream",213,9.40709674711854,8.47266681800898e-18,5.59196009988593e-16,"****"
"grop","poll","other_Downstream","wet2wet5_Downstream",213,3.1432666046865,0.00190876443159525,0.125978452485286,"ns"
"grop","poll","other_Downstream","wet2wet5_Middlestream",213,8.05982940598066,5.42859314982579e-14,3.58287147888502e-12,"****"
"grop","poll","other_Downstream","wet2wet5_Upstream",213,8.67529057357225,1.06805009393384e-15,7.04913061996336e-14,"****"
"grop","poll","other_Middlestream","other_Upstream",213,4.01812914727016,8.13588020944498e-05,0.00536968093823369,"**"
"grop","poll","other_Middlestream","wet2wet5_Downstream",213,-1.40960114136272,0.160115888813785,1,"ns"
"grop","poll","other_Middlestream","wet2wet5_Middlestream",213,2.71873419959118,0.00709338169603674,0.468163191938425,"ns"
"grop","poll","other_Middlestream","wet2wet5_Upstream",213,4.36834708997016,1.95465195505683e-05,0.00129007029033751,"**"
"grop","poll","other_Upstream","wet2wet5_Downstream",213,-4.24261725246186,3.2954526909609e-05,0.00217499877603419,"**"
"grop","poll","other_Upstream","wet2wet5_Middlestream",213,-1.07305872664941,0.284458964019698,1,"ns"
"grop","poll","other_Upstream","wet2wet5_Upstream",213,1.08995653014096,0.276963837006058,1,"ns"
"grop","poll","wet2wet5_Downstream","wet2wet5_Middlestream",213,3.28639968415711,0.00118671384303518,0.0783231136403216,"ns"
"grop","poll","wet2wet5_Downstream","wet2wet5_Upstream",213,4.64987033003307,5.82439111418134e-06,0.000384409813535969,"***"
"grop","poll","wet2wet5_Middlestream","wet2wet5_Upstream",213,1.97385230901025,0.0496911500699828,1,"ns"
