"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,0.0197427481379265,0.984267070789149,1,"ns"
"id","poll","1","3",213,-0.741853317072955,0.458993427122914,1,"ns"
"id","poll","1","4",213,-0.542588110215036,0.587980686521702,1,"ns"
"id","poll","1","5",213,-1.63045979143404,0.104482156519698,1,"ns"
"id","poll","1","7",213,-2.60962448943999,0.00970715813825893,0.640672437125089,"ns"
"id","poll","1","8",213,-6.42683015785502,8.40129115227828e-10,5.54485216050366e-08,"****"
"id","poll","1","9",213,-4.70344533949732,4.59654672422612e-06,0.000303372083798924,"***"
"id","poll","1","10",213,-6.49614683703701,5.72813573930752e-10,3.78056958794296e-08,"****"
"id","poll","1","11",213,-10.2096483539809,3.54770830631291e-20,2.34148748216652e-18,"****"
"id","poll","1","12",213,-6.8937242333921,6.06493426893688e-11,4.00285661749834e-09,"****"
"id","poll","1","13",213,-6.9209655845675,5.18474439116027e-11,3.42193129816578e-09,"****"
"id","poll","2","3",213,-0.751899926933262,0.452941281479764,1,"ns"
"id","poll","2","4",213,-0.555177600179951,0.579355762108757,1,"ns"
"id","poll","2","5",213,-1.62973695791835,0.104635031978273,1,"ns"
"id","poll","2","7",213,-2.59569325273701,0.0100967651200032,0.666386497920214,"ns"
"id","poll","2","8",213,-6.36364259085127,1.1884667986286e-09,7.84388087094876e-08,"****"
"id","poll","2","9",213,-4.66249592763171,5.5093255055994e-06,0.000363615483369561,"***"
"id","poll","2","10",213,-6.4339254471152,8.07926447764634e-10,5.33231455524658e-08,"****"
"id","poll","2","11",213,-10.1007143936509,7.52847100931592e-20,4.96879086614851e-18,"****"
"id","poll","2","12",213,-6.82650167084784,8.91625669533331e-11,5.88472941891999e-09,"****"
"id","poll","2","13",213,-6.85340034987702,7.64423519578457e-11,5.04519522921782e-09,"****"
"id","poll","3","4",213,0.230750405602067,0.817730196847136,1,"ns"
"id","poll","3","5",213,-0.761093891995116,0.447442760805174,1,"ns"
"id","poll","3","7",213,-1.62634231850612,0.105355374155542,1,"ns"
