"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",16,147.19,212.29,173.49,23.795,172.047,18.669,4.667,9.948,"ab"
"dry2dry5_Middlestream","poll",19,163,266.34,221.93,63.16,212.795,34.699,7.961,16.725,"ac"
"dry2dry5_Upstream","poll",12,155.93,243.21,231.92,52.732,212.935,33.591,9.697,21.343,"ac"
"dry2wet5_Downstream","poll",12,112.59,250.34,167.685,44.722,174.572,38.484,11.109,24.452,"ab"
"dry2wet5_Middlestream","poll",15,108.45,288.97,203.07,40.79,209.927,40.797,10.534,22.593,"ac"
"dry2wet5_Upstream","poll",9,178.94,311.5,197.71,55.28,224.49,49.254,16.418,37.86,"ac"
"other_Downstream","poll",36,102.41,236.06,189.46,38.45,185.023,32.164,5.361,10.883,"ab"
"other_Middlestream","poll",42,77.248,268.86,221.86,45.915,208.714,44.013,6.791,13.715,"ac"
"other_Upstream","poll",21,216.27,283.53,236.7,14.28,239.473,16.557,3.613,7.537,"c"
"wet2wet5_Downstream","poll",12,135.3,203.47,162.7,42.523,166.738,22.788,6.578,14.479,"ab"
"wet2wet5_Middlestream","poll",20,36.281,246.63,156.065,120.658,144.273,72.15,16.133,33.767,"b"
"wet2wet5_Upstream","poll",11,42.347,316.54,239.22,199.176,186.914,107.995,32.562,72.552,"abc"
