"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",172.0475,11.371282101029,213,149.632839391014,194.462160608986,"Emmeans test"
"dry2dry5_Middlestream",212.794736842105,10.435004113027,213,192.225633589825,233.363840094385,"Emmeans test"
"dry2dry5_Upstream",212.935,13.1304255641205,213,187.052779327216,238.817220672784,"Emmeans test"
"dry2wet5_Downstream",174.571666666667,13.1304255641205,213,148.689445993883,200.453887339451,"Emmeans test"
"dry2wet5_Middlestream",209.926666666667,11.7442096539498,213,186.776904733469,233.076428599865,"Emmeans test"
"dry2wet5_Upstream",224.49,15.1617094680386,213,194.603785854686,254.376214145314,"Emmeans test"
"other_Downstream",185.0225,7.58085473401931,213,170.079392927343,199.965607072657,"Emmeans test"
"other_Middlestream",208.714452380952,7.01850768621097,213,194.879823500033,222.549081261872,"Emmeans test"
"other_Upstream",239.472857142857,9.92566875745938,213,219.907737349063,259.037976936652,"Emmeans test"
"wet2wet5_Downstream",166.738333333333,13.1304255641205,213,140.856112660549,192.620554006117,"Emmeans test"
"wet2wet5_Middlestream",144.27275,10.1707839076909,213,124.224468074288,164.321031925712,"Emmeans test"
"wet2wet5_Upstream",186.913909090909,13.7142822234172,213,159.880811257031,213.947006924787,"Emmeans test"
