"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,-2.64016766740277,0.00889982308696535,0.587388323739713,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,-2.35392559284502,0.0194864842441614,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,-0.145318263950428,0.884597015438576,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,-2.31715862374822,0.021445012505974,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,-2.7671022247485,0.00615327985179686,0.406116470218593,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,-0.949396248647874,0.343495068090811,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,-2.74394896250625,0.00658821292020663,0.434822052733638,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,-4.46706844802066,1.28668925586875e-05,0.000849214908873375,"***"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,0.30565290842791,0.760167439499348,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,1.82055780243233,0.0700774054584649,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,-0.834470726764324,0.404950689932762,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,-0.00836297433400751,0.993335217120229,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,2.2789915729927,0.0236586623611941,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,0.182559030113674,0.855317670275375,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,-0.635418145737897,0.525837784904202,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,2.15321869236667,0.0324251441730337,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,0.324457296034765,0.74591025987022,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,-1.85243191076337,0.0653473916385659,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,2.74604198451566,0.00654778074689411,0.432153529295011,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",213,4.7024048524435,4.61781801425428e-06,0.000304775988940782,"***"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",213,1.50183165155486,0.13462160335429,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",213,2.06596298166039,0.0400418705991746,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",213,0.170769733736927,0.864566935151149,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",213,-0.576106473327182,0.565151439317266,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",213,1.84098633856827,0.067014429314655,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Middlestream",213,0.283476960742215,0.777086577069622,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",213,-1.61227725503979,0.108382298007881,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",213,2.48780788624826,0.0136203086723224,0.898940372373279,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",213,4.1340834349119,5.12502331051305e-05,0.00338251538493861,"**"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",213,1.37050026080013,0.17197337770463,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",213,-2.00694646080957,0.0460194274505085,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",213,-2.4888165271344,0.0135828453898567,0.896467795730539,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",213,-0.689291227705165,0.491390216361376,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Middlestream",213,-2.29323158963482,0.0228104325352237,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",213,-3.9429978338674,0.000109174576754916,0.00720552206582446,"**"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",213,0.421844904587878,0.673563671072951,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",213,1.82426660191652,0.0695128808867384,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",213,-0.650051395630491,0.516359500594083,1,"ns"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",213,-0.759368588262873,0.448471669499967,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",213,1.7816171349216,0.0762364744579332,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Middlestream",213,0.0886018560380528,0.92948158156747,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Upstream",213,-1.92148100133739,0.0560057850890652,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Downstream",213,2.45161003342094,0.0150270894428744,0.991787903229712,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Middlestream",213,4.22588641468314,3.52958708022181e-05,0.0023295274729464,"**"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Upstream",213,1.27454312751023,0.203859689212292,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Downstream",213,2.32828661142759,0.0208347769647128,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Middlestream",213,0.944225730021825,0.346124119142353,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Upstream",213,-0.826790519969041,0.409281036561949,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Downstream",213,2.87936901878849,0.00439132864542942,0.289827690598342,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Middlestream",213,4.39375258630333,1.75641654145775e-05,0.00115923491736211,"**"
"grop","poll","dry2wet5_Upstream","wet2wet5_Upstream",213,1.8379968903798,0.0674556002892072,1,"ns"
"grop","poll","other_Downstream","other_Middlestream",213,-2.29329550733729,0.0228066859507131,1,"ns"
"grop","poll","other_Downstream","other_Upstream",213,-4.3596816487712,2.02704691985789e-05,0.0013378509671062,"**"
"grop","poll","other_Downstream","wet2wet5_Downstream",213,1.20594361112184,0.229177087365175,1,"ns"
"grop","poll","other_Downstream","wet2wet5_Middlestream",213,3.21238625010567,0.00152041878407717,0.100347639749094,"ns"
"grop","poll","other_Downstream","wet2wet5_Upstream",213,-0.12070206802077,0.904040803087014,1,"ns"
"grop","poll","other_Middlestream","other_Upstream",213,-2.53022067697076,0.012121992445341,0.800051501392503,"ns"
"grop","poll","other_Middlestream","wet2wet5_Downstream",213,2.81936462407621,0.00526571240320383,0.347537018611453,"ns"
"grop","poll","other_Middlestream","wet2wet5_Middlestream",213,5.21484468246674,4.34634134704692e-07,2.86858528905096e-05,"****"
"grop","poll","other_Middlestream","wet2wet5_Upstream",213,1.4150798428444,0.158505409382455,1,"ns"
"grop","poll","other_Upstream","wet2wet5_Downstream",213,4.418903069791,1.57925704215186e-05,0.00104230964782023,"**"
