"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,-1.48378421402192,0.139344404128882,1,"ns"
"id","poll","1","3",213,2.53416103332692,0.0119905527303013,0.791376480199888,"ns"
"id","poll","1","4",213,5.33137199129765,2.47845557293651e-07,1.6357806781381e-05,"****"
"id","poll","1","5",213,-0.707041982485498,0.480313186988302,1,"ns"
"id","poll","1","7",213,0.177622430954208,0.859188308435687,1,"ns"
"id","poll","1","8",213,1.29101608293352,0.198097517159798,1,"ns"
"id","poll","1","9",213,3.51228800007538,0.000542333746092892,0.0357940272421309,"*"
"id","poll","1","10",213,1.53446408998161,0.126399532831592,1,"ns"
"id","poll","1","11",213,3.2220635828019,0.00147231167421288,0.0971725704980503,"ns"
"id","poll","1","12",213,4.11216768068714,5.5971012066397e-05,0.00369408679638221,"**"
"id","poll","1","13",213,4.08057845440474,6.35110259415408e-05,0.00419172771214169,"**"
"id","poll","2","3",213,3.85670852262315,0.000152239025418885,0.0100477756776464,"*"
"id","poll","2","4",213,6.71131679828308,1.71647573979725e-10,1.13287398826619e-08,"****"
"id","poll","2","5",213,0.746795105654548,0.456010773560536,1,"ns"
"id","poll","2","7",213,1.65911464661715,0.0985643794868779,1,"ns"
"id","poll","2","8",213,2.7581413269841,0.00631842361955231,0.417015958890452,"ns"
"id","poll","2","9",213,4.95075047016441,1.50196011181302e-06,9.91293673796591e-05,"****"
"id","poll","2","10",213,2.98028140517044,0.00321448278390192,0.212155863737527,"ns"
"id","poll","2","11",213,4.64665238636374,5.90742936237268e-06,0.000389890337916597,"***"
"id","poll","2","12",213,5.52555976057635,9.53411871062527e-08,6.29251834901268e-06,"****"
"id","poll","2","13",213,5.49436789887024,1.11332487143707e-07,7.34794415148464e-06,"****"
"id","poll","3","4",213,2.38266082280993,0.0180671365847172,1,"ns"
"id","poll","3","5",213,-3.12273707459363,0.00204067809120285,0.134684754019388,"ns"
"id","poll","3","7",213,-2.37297130374366,0.0185352069345377,1,"ns"
"id","poll","3","8",213,-1.36258302835439,0.174452899402834,1,"ns"
"id","poll","3","9",213,0.653188390444102,0.514339270666892,1,"ns"
"id","poll","3","10",213,-1.11147483983859,0.267617016096701,1,"ns"
"id","poll","3","11",213,0.423473416272474,0.672377181206632,1,"ns"
"id","poll","3","12",213,1.23306345147863,0.218911202094147,1,"ns"
"id","poll","3","13",213,1.20433161788875,0.229797975060055,1,"ns"
"id","poll","4","5",213,-5.8855179171285,1.52531930807174e-08,1.00671074332735e-06,"****"
"id","poll","4","7",213,-5.1584870122531,5.68497916975512e-07,3.75208625203838e-05,"****"
"id","poll","4","8",213,-4.07478920924078,6.49939536195056e-05,0.00428960093888737,"**"
"id","poll","4","9",213,-1.91276188654114,0.0571198376837485,1,"ns"
"id","poll","4","10",213,-3.77158532891304,0.000210170975420304,0.0138712843777401,"*"
"id","poll","4","11",213,-2.12788711821377,0.0344957646651074,1,"ns"
"id","poll","4","12",213,-1.26093822467918,0.208710494302777,1,"ns"
"id","poll","4","13",213,-1.2917056875391,0.197858939561989,1,"ns"
"id","poll","5","7",213,0.879926961530052,0.379890559080094,1,"ns"
"id","poll","5","8",213,1.96362476454237,0.0508747621289509,1,"ns"
"id","poll","5","9",213,4.12565208724201,5.30195690697351e-05,0.00349929155860251,"**"
"id","poll","5","10",213,2.19293636371549,0.0293945305411691,1,"ns"
"id","poll","5","11",213,3.83663457441477,0.000164349411614023,0.0108470611665255,"*"
"id","poll","5","12",213,4.70358346794935,4.59372999972653e-06,0.000303186179981951,"***"
"id","poll","5","13",213,4.67281600508943,5.26405863201047e-06,0.000347427869712691,"***"
"id","poll","7","8",213,1.11339365197931,0.266794279927403,1,"ns"
"id","poll","7","9",213,3.33466556912118,0.0010072768421625,0.0664802715827247,"ns"
"id","poll","7","10",213,1.35913365738639,0.175541543865476,1,"ns"
"id","poll","7","11",213,3.04673315020667,0.00260580210714799,0.171982939071767,"ns"
"id","poll","7","12",213,3.93683724809192,0.000111818127955676,0.00737999644507465,"**"
"id","poll","7","13",213,3.90524802180951,0.000126356187108144,0.00833950834913752,"**"
"id","poll","8","9",213,2.22127191714186,0.0273853001532861,1,"ns"
"id","poll","8","10",213,0.260106977019437,0.795032515921212,1,"ns"
"id","poll","8","11",213,1.94770646983972,0.0527642142312153,1,"ns"
"id","poll","8","12",213,2.83781056772497,0.00498138071176941,0.328771126976781,"ns"
"id","poll","8","13",213,2.80622134144256,0.00547723043145344,0.361497208475927,"ns"
"id","poll","9","10",213,-1.93250216616087,0.0546237263708674,1,"ns"
"id","poll","9","11",213,-0.244902673340586,0.806767567203609,1,"ns"
"id","poll","9","12",213,0.64520142454466,0.519491024481907,1,"ns"
"id","poll","9","13",213,0.613612198262256,0.54012635166896,1,"ns"
"id","poll","10","11",213,1.66637098119329,0.097109383524862,1,"ns"
"id","poll","10","12",213,2.5452783554059,0.0116265414523516,0.767351735855208,"ns"
"id","poll","10","13",213,2.5140864936998,0.0126736970619106,0.836464006086097,"ns"
"id","poll","11","12",213,0.878907374212611,0.3804419196871,1,"ns"
"id","poll","11","13",213,0.847715512506503,0.397547979622027,1,"ns"
"id","poll","12","13",213,-0.031191861706108,0.975145737799505,1,"ns"
