"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",32,648.838,1408.815,827.395,223.139,864.374,182.956,32.342,65.963,"ab"
"dry2dry5_Middlestream","poll",39,70.367,1032.784,686.843,257.104,662.969,228.522,36.593,74.078,"cd"
"dry2dry5_Upstream","poll",21,284.931,471.203,382.83,72.553,384.409,51.69,11.28,23.529,"e"
"dry2wet5_Downstream","poll",12,404.698,988.95,746.708,143.374,709.942,179.675,51.868,114.16,"ac"
"dry2wet5_Middlestream","poll",16,320.584,1008.948,648.999,301.594,647.987,210.491,52.623,112.163,"cd"
"dry2wet5_Upstream","poll",9,277.497,934.214,373.059,111.567,426.638,204.041,68.014,156.84,"de"
"other_Downstream","poll",52,412.562,1278.698,995.061,230.24,938.149,204.928,28.418,57.052,"b"
"other_Middlestream","poll",61,252.689,1092.173,690.081,227.889,702.019,167.857,21.492,42.99,"c"
"other_Upstream","poll",32,339.186,580.996,370.542,84.821,402.215,68.031,12.026,24.528,"e"
"wet2wet5_Downstream","poll",24,146.399,976.632,654.192,194.981,590.244,234.784,47.925,99.141,"cd"
"wet2wet5_Middlestream","poll",35,23.369,824.564,468.025,427.143,402.556,244.897,41.395,84.125,"e"
"wet2wet5_Upstream","poll",20,46.08,528.346,339.87,256.283,291.963,156.001,34.883,73.011,"e"
