"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",31,46.08,406.865,357.57,46.625,338.404,77.497,13.919,28.426,"a"
"2","poll",30,124.855,528.346,362.235,66.058,374.902,76.922,14.044,28.723,"a"
"3","poll",21,60.186,934.214,461.715,120.488,423.089,192.091,41.918,87.439,"ab"
"4","poll",28,23.369,714.358,428.319,222.964,365.805,178.451,33.724,69.196,"a"
"5","poll",29,78.411,1032.784,690.853,199.022,666.698,230.681,42.836,87.746,"cd"
"7","poll",31,92.812,767.442,658.955,160.922,602.374,162.676,29.217,59.67,"bc"
"8","poll",32,144.772,1092.173,859.504,250.513,795.431,224.621,39.708,80.985,"def"
"9","poll",31,122.034,989.569,635.813,138.182,626.839,178.169,32,65.353,"c"
"10","poll",31,146.399,1007.086,768.062,185.692,737.9,201.114,36.121,73.769,"cde"
"11","poll",30,155.227,1278.698,723.13,340.545,767.013,236.479,43.175,88.303,"cdef"
"12","poll",29,404.698,1408.815,993.536,313.406,934.678,238.462,44.281,90.706,"f"
"13","poll",30,164.264,1225.32,941.424,287.262,871.265,250.707,45.773,93.615,"ef"
