"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",864.37373125,33.4006664540348,341,798.676453051954,930.071009448047,"Emmeans test"
"dry2dry5_Middlestream",662.969287948717,30.255046040822,341,603.459272501152,722.479303396283,"Emmeans test"
"dry2dry5_Upstream",384.409171428568,41.2306777985923,341,303.310690553767,465.507652303369,"Emmeans test"
"dry2wet5_Downstream",709.942208333331,54.5430599208539,341,602.659002283404,817.225414383257,"Emmeans test"
"dry2wet5_Middlestream",647.987000000001,47.235675491596,341,555.077018161325,740.896981838676,"Emmeans test"
"dry2wet5_Upstream",426.638088888889,62.9809006554613,341,302.758113103988,550.51806467379,"Emmeans test"
"other_Downstream",938.14885,26.2016384640196,341,886.611664842805,989.686035157196,"Emmeans test"
"other_Middlestream",702.018559016393,24.1916340458669,341,654.434942259409,749.602175773377,"Emmeans test"
"other_Upstream",402.214596874999,33.4006664540348,341,336.517318676953,467.911875073046,"Emmeans test"
"wet2wet5_Downstream",590.244491666666,38.5677675366997,341,514.38380916133,666.105174172002,"Emmeans test"
"wet2wet5_Middlestream",402.555506285713,31.9371456933583,341,339.736893119548,465.374119451878,"Emmeans test"
"wet2wet5_Upstream",291.962652500001,42.2488725449317,341,208.861438428181,375.063866571821,"Emmeans test"
