"id","emmean","se","df","conf.low","conf.high","method"
"1",338.403896774194,35.0681772332643,341,269.426716370841,407.381077177546,"Emmeans test"
"2",374.901990000001,35.6478557973093,341,304.784613668524,445.019366331477,"Emmeans test"
"3",423.089288095238,42.6073371103711,341,339.282993892391,506.895582298085,"Emmeans test"
"4",365.804588214285,36.8990363251888,341,293.226208437587,438.382967990983,"Emmeans test"
"5",666.698223103448,36.2572649977395,341,595.382172313418,738.014273893478,"Emmeans test"
"7",602.374226129033,35.0681772332644,341,533.39704572568,671.351406532386,"Emmeans test"
"8",795.430703124999,34.5158879577456,341,727.539845422107,863.32156082789,"Emmeans test"
"9",626.838987096773,35.0681772332644,341,557.86180669342,695.816167500126,"Emmeans test"
"10",737.899603225806,35.0681772332644,341,668.922422822453,806.876783629159,"Emmeans test"
"11",767.012793333333,35.6478557973094,341,696.895417001856,837.130169664809,"Emmeans test"
"12",934.678075862068,36.2572649977395,341,863.362025072038,1005.9941266521,"Emmeans test"
"13",871.264606666667,35.6478557973094,341,801.14723033519,941.381982998144,"Emmeans test"
