"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",341,4.46906883746966,1.0705298770703e-05,0.000706549718866398,"***"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",341,9.04535780205873,1.15381811582352e-17,7.61519956443525e-16,"****"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",341,2.41459950076129,0.0162783855457549,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",341,3.74037259730065,0.000215486344401477,0.0142220987304975,"*"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",341,6.14025071095569,2.29177516471881e-09,1.51257160871442e-07,"****"
"grop","poll","dry2dry5_Downstream","other_Downstream",341,-1.73786810815033,0.0831368123874035,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",341,3.93671920990739,0.000100154925684031,0.00661022509514606,"**"
"grop","poll","dry2dry5_Downstream","other_Upstream",341,9.78411189350359,4.35437693599894e-20,2.8738887777593e-18,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",341,5.3729380875853,1.43800611943489e-07,9.49084038827025e-06,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",341,9.9933835474256,8.58068307378735e-21,5.66325082869965e-19,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",341,10.6283592164824,5.57621494091491e-23,3.68030186100384e-21,"****"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",341,5.44697195799724,9.82747818187139e-08,6.48613560003512e-06,"****"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",341,-0.753104562451664,0.451906698048302,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",341,0.267090824076897,0.789560687432696,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",341,3.38239151605483,0.00080208518330986,0.0529376220984507,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",341,-6.8754215751838,2.95695541512234e-11,1.95159057398075e-09,"****"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",341,-1.00804525727445,0.31414748584858,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",341,5.78602261698046,1.63283144743639e-08,1.07766875530801e-06,"****"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",341,1.48361098859214,0.138835823549471,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",341,5.91949023489245,7.87350352327848e-09,5.19651232536379e-07,"****"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",341,7.13958306754974,5.68108042436459e-12,3.74951308008063e-10,"****"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",341,-4.76111036258484,2.85063169429098e-06,0.000188141691823205,"***"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",341,-4.20385309258903,3.35633909564614e-05,0.00221518380312645,"**"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",341,-0.560983517783235,0.575177205192451,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",341,-11.3351014573034,1.72394972366471e-25,1.13780681761871e-23,"****"
"grop","poll","dry2dry5_Upstream","other_Middlestream",341,-6.64401871949941,1.20895595974543e-10,7.97910933431984e-09,"****"
"grop","poll","dry2dry5_Upstream","other_Upstream",341,-0.335559033860272,0.737409772490033,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",341,-3.6458499365103,0.000308074513825732,0.0203329179124983,"*"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",341,-0.347943281535399,0.728097463957195,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",341,1.56600504783242,0.118274922814111,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",341,0.858656177407858,0.391133394837721,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",341,3.40036077899042,0.000752802174228905,0.0496849434991077,"*"
"grop","poll","dry2wet5_Downstream","other_Downstream",341,-3.77138149713537,0.000191333337865463,0.0126280002991206,"*"
"grop","poll","dry2wet5_Downstream","other_Middlestream",341,0.132797296949002,0.894432019932614,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",341,4.81144602451854,2.25397019847956e-06,0.000148762033099651,"***"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",341,1.79184623204135,0.0740441103514207,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",341,4.86329562682621,1.76599762624539e-06,0.000116555843332196,"***"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",341,6.05836660858792,3.63679227891497e-09,2.40028290408388e-07,"****"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",341,2.81163220986002,0.00521420614195767,0.344137605369206,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",341,-5.37176984165231,1.44662253659602e-07,9.54770874153373e-06,"****"
"grop","poll","dry2wet5_Middlestream","other_Middlestream",341,-1.01811520475989,0.309345001071114,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Upstream",341,4.24832131115934,2.78212426618116e-05,0.00183620201567956,"**"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Downstream",341,0.946893511380123,0.344363549356326,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Middlestream",341,4.30436502924973,2.19121600526161e-05,0.00144620256347266,"**"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Upstream",341,5.6178910986933,4.01836729635956e-08,2.65212241559731e-06,"****"
"grop","poll","dry2wet5_Upstream","other_Downstream",341,-7.49864272740452,5.62905598948657e-13,3.71517695306113e-11,"****"
"grop","poll","dry2wet5_Upstream","other_Middlestream",341,-4.0816914110593,5.57364736584061e-05,0.0036786072614548,"**"
"grop","poll","dry2wet5_Upstream","other_Upstream",341,0.342595735164264,0.732113689039041,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Downstream",341,-2.21533842225624,0.0273970769766248,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Middlestream",341,0.341037295472776,0.733285534703387,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Upstream",341,1.77580601786095,0.0766566248865054,1,"ns"
"grop","poll","other_Downstream","other_Middlestream",341,6.62138663998681,1.38485969017269e-10,9.14007395513977e-09,"****"
"grop","poll","other_Downstream","other_Upstream",341,12.6246228044371,3.05370234364206e-30,2.01544354680376e-28,"****"
"grop","poll","other_Downstream","wet2wet5_Downstream",341,7.46157045674572,7.17249907924423e-13,4.73384939230119e-11,"****"
"grop","poll","other_Downstream","wet2wet5_Middlestream",341,12.9652566167403,1.57882575443867e-31,1.04202499792952e-29,"****"
"grop","poll","other_Downstream","wet2wet5_Upstream",341,12.9980432296849,1.18550607152828e-31,7.82434007208662e-30,"****"
"grop","poll","other_Middlestream","other_Upstream",341,7.26951904722912,2.48349653218994e-12,1.63910771124536e-10,"****"
"grop","poll","other_Middlestream","wet2wet5_Downstream",341,2.45511595474531,0.0145826756607313,0.962456593608265,"ns"
"grop","poll","other_Middlestream","wet2wet5_Middlestream",341,7.47440194692998,6.59609561760265e-13,4.35342310761775e-11,"****"
"grop","poll","other_Middlestream","wet2wet5_Upstream",341,8.42268106962105,1.0386642647863e-15,6.85518414758958e-14,"****"
"grop","poll","other_Upstream","wet2wet5_Downstream",341,-3.685389361844,0.00026552934147433,0.0175249365373058,"*"
"grop","poll","other_Upstream","wet2wet5_Middlestream",341,-0.00737701180253878,0.994118363345561,1,"ns"
"grop","poll","other_Upstream","wet2wet5_Upstream",341,2.04712541848775,0.0414117945542931,1,"ns"
"grop","poll","wet2wet5_Downstream","wet2wet5_Middlestream",341,3.74819607995901,0.000209134908871894,0.013802903985545,"*"
