"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,1.32002063091,0.188244970838657,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,1.35941209728814,0.175453477467469,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,-2.06625589903497,0.0400139404570975,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,0.659058179611345,0.510570263353642,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,1.24592176729231,0.21416178401595,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,-2.07751020936358,0.0389533573653534,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,-0.46057353865952,0.645574471176946,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,1.56440180487377,0.119207705420112,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,-3.74500992818373,0.000232168281761563,0.0153231065962632,"*"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,-0.344042197696867,0.731153951692256,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,1.32542141572149,0.186451293856515,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,0.193194121441686,0.846991036872331,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,-3.3546150189649,0.000940778693895513,0.0620913937971038,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,-0.610988447870347,0.541858684823166,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,0.176046084572355,0.860424996840466,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,-3.78082369641633,0.000202997042971447,0.0133978048361155,"*"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,-2.10939901790325,0.0360779072723614,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,0.224990293921746,0.822202525981295,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,-5.09322450928942,7.73793484689639e-07,5.10703699895162e-05,"****"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",213,-1.75830057080621,0.0801325761607171,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",213,0.18802683968305,0.851034618077126,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",213,-3.20441899076937,0.00156111497316066,0.103033588228604,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",213,-0.728818296699294,0.466913392746887,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",213,-8.39092017603729e-15,0.999999999999993,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",213,-3.43004460540548,0.000724609964382604,0.0478242576492519,"*"
"grop","poll","dry2dry5_Upstream","other_Middlestream",213,-1.99935818208395,0.0468403467342801,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",213,4.33250085122525e-15,0.999999999999997,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",213,-4.77474959420461,3.34382236374438e-06,0.000220692276007129,"***"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",213,-1.73773013961345,0.0837036970036352,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",213,-1.29204263982892e-14,0.99999999999999,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",213,2.64893589941046,0.00867948912434714,0.572846282206911,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",213,2.96671550974715,0.00335376686973549,0.221348613402542,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",213,0.494551119329115,0.621426707560119,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Middlestream",213,1.99725448029302,0.0470701154826001,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",213,3.61507217276939,0.000374779969674938,0.0247354779985459,"*"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",213,-1.57033060343524,0.117822517363909,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",213,1.84491920626234,0.0664376782120078,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",213,3.13398359853143,0.00196740460842138,0.129848704155811,"ns"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",213,0.669462353294102,0.503925612670605,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",213,-2.80191096177619,0.00554826225401509,0.366185308764996,"ns"
"grop","poll","dry2wet5_Middlestream","other_Middlestream",213,-1.23730925985774,0.217334594668927,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Upstream",213,0.83496625312333,0.404672246851517,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Downstream",213,-4.30420969485112,2.55512427766134e-05,0.00168638202325648,"**"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Middlestream",213,-1.03130939059267,0.303565354162421,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Upstream",213,0.711082833882192,0.477810856053906,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Downstream",213,-3.06792516141723,0.00243524011060173,0.160725847299714,"ns"
"grop","poll","dry2wet5_Upstream","other_Middlestream",213,-1.78169363236865,0.0762239528196622,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Upstream",213,1.32222361182305e-14,0.999999999999989,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Downstream",213,-4.42055914569545,1.56821440401826e-05,0.00103502150665205,"**"
"grop","poll","dry2wet5_Upstream","wet2wet5_Middlestream",213,-1.58084378293086,0.115397550935429,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Upstream",213,-3.76722631601344e-15,0.999999999999997,1,"ns"
"grop","poll","other_Downstream","other_Middlestream",213,2.15254743834715,0.0324785981286803,1,"ns"
"grop","poll","other_Downstream","other_Upstream",213,4.16391622256333,4.54314383132897e-05,0.00299847492867712,"**"
"grop","poll","other_Downstream","wet2wet5_Downstream",213,-2.41780547227569,0.0164557304919378,1,"ns"
"grop","poll","other_Downstream","wet2wet5_Middlestream",213,1.82446461447807,0.0694828470085746,1,"ns"
"grop","poll","other_Downstream","wet2wet5_Upstream",213,3.31877016372648,0.0010633707558876,0.0701824698885819,"ns"
"grop","poll","other_Middlestream","other_Upstream",213,2.44870367958213,0.0151454435321863,0.999599273124296,"ns"
"grop","poll","other_Middlestream","wet2wet5_Downstream",213,-3.95580084763324,0.000103869417826434,0.00685538157654467,"**"
"grop","poll","other_Middlestream","wet2wet5_Middlestream",213,0.073300658347924,0.941635655632961,1,"ns"
"grop","poll","other_Middlestream","wet2wet5_Upstream",213,1.93221419787632,0.0546594698528344,1,"ns"
"grop","poll","other_Upstream","wet2wet5_Downstream",213,-5.38664401867331,1.89297627140032e-07,1.24936433912421e-05,"****"
"grop","poll","other_Upstream","wet2wet5_Middlestream",213,-2.03088073009534,0.0435096628133438,1,"ns"
"grop","poll","other_Upstream","wet2wet5_Upstream",213,-1.8702916165184e-14,0.999999999999985,1,"ns"
"grop","poll","wet2wet5_Downstream","wet2wet5_Middlestream",213,3.60060219447707,0.000394989838513493,0.0260693293418905,"*"
"grop","poll","wet2wet5_Downstream","wet2wet5_Upstream",213,4.66979722640424,5.33469190132358e-06,0.000352089665487356,"***"
"grop","poll","wet2wet5_Middlestream","wet2wet5_Upstream",213,1.69037163106969,0.0924197377923947,1,"ns"
