"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,-4.93165924196698e-15,0.999999999999996,1,"ns"
"id","poll","1","3",213,-3.5478382012602e-15,0.999999999999997,1,"ns"
"id","poll","1","4",213,-2.90643555908847,0.00404210877226568,0.266779178969535,"ns"
"id","poll","1","5",213,-5.56653784463473e-15,0.999999999999996,1,"ns"
"id","poll","1","7",213,-0.224115527183519,0.822882235008238,1,"ns"
"id","poll","1","8",213,-0.455893123672446,0.648931281316674,1,"ns"
"id","poll","1","9",213,-4.21030708332785,3.76184558821978e-05,0.00248281808822506,"**"
"id","poll","1","10",213,-1.99031572443461,0.0478347539050733,1,"ns"
"id","poll","1","11",213,-3.02527990114061,0.00278961062823259,0.184114301463351,"ns"
"id","poll","1","12",213,-5.08525667593042,8.0331993584811e-07,5.30191157659752e-05,"****"
"id","poll","1","13",213,-5.13501456904128,6.35370110580415e-07,4.19344272983074e-05,"****"
"id","poll","2","3",213,9.75559762895894e-16,0.999999999999999,1,"ns"
"id","poll","2","4",213,-2.87086940638307,0.00450654641689036,0.297432063514764,"ns"
"id","poll","2","5",213,-6.95053070975598e-16,0.999999999999999,1,"ns"
"id","poll","2","7",213,-0.221223592770908,0.825130268607971,1,"ns"
"id","poll","2","8",213,-0.450010385294663,0.653160602529692,1,"ns"
"id","poll","2","9",213,-4.15597826419189,4.69149128906022e-05,0.00309638425077974,"**"
"id","poll","2","10",213,-1.96527930988406,0.0506816879986069,1,"ns"
"id","poll","2","11",213,-2.98722455102377,0.00314526833957836,0.207587710412172,"ns"
"id","poll","2","12",213,-5.02128863675377,1.08340723565238e-06,7.15048775530568e-05,"****"
"id","poll","2","13",213,-5.07042061950086,8.61236198318881e-07,5.68415890890461e-05,"****"
"id","poll","3","4",213,-2.6498819533434,0.00865601192531749,0.571296787070954,"ns"
"id","poll","3","5",213,-1.60581338614813e-15,0.999999999999999,1,"ns"
"id","poll","3","7",213,-0.203381526916694,0.839031001303215,1,"ns"
"id","poll","3","8",213,-0.413716268428825,0.679498164665191,1,"ns"
"id","poll","3","9",213,-3.82079142019562,0.000174546112555703,0.0115200434286764,"*"
"id","poll","3","10",213,-1.81028239421062,0.0716612653986031,1,"ns"
"id","poll","3","11",213,-2.75162923920013,0.00644094672712432,0.425102483990205,"ns"
"id","poll","3","12",213,-4.62527151720811,6.48884602188989e-06,0.000428263837444733,"***"
"id","poll","3","13",213,-4.67052857706337,5.31749638083307e-06,0.000350954761134982,"***"
"id","poll","4","5",213,2.83284296708751,0.00505654440287818,0.33373193058996,"ns"
"id","poll","4","7",213,2.68829752318539,0.00774967253935779,0.511478387597614,"ns"
"id","poll","4","8",213,2.46270177665315,0.0145829111445623,0.962472135541112,"ns"
"id","poll","4","9",213,-1.19157643163768,0.234753375425979,1,"ns"
"id","poll","4","10",213,0.932329836480403,0.35222168589833,1,"ns"
"id","poll","4","11",213,-0.0757107398689777,0.939720293458019,1,"ns"
"id","poll","4","12",213,-2.08209919471823,0.0385278534949671,1,"ns"
"id","poll","4","13",213,-2.13056268396579,0.0342718177363358,1,"ns"
"id","poll","5","7",213,-0.218138035903077,0.827530406866356,1,"ns"
"id","poll","5","8",213,-0.443733782435313,0.657685493200026,1,"ns"
"id","poll","5","9",213,-4.09801199072615,5.92377200756183e-05,0.00390968952499081,"**"
"id","poll","5","10",213,-1.93853956990266,0.0538788547324829,1,"ns"
"id","poll","5","11",213,-2.94658014625205,0.00357072592651715,0.235667911150132,"ns"
"id","poll","5","12",213,-4.9529686011013,1.48668661647182e-06,9.81213166871399e-05,"****"
"id","poll","5","13",213,-5.00143209034886,1.18815767515916e-06,7.84184065605044e-05,"****"
"id","poll","7","8",213,-0.231777596488927,0.816933276870166,1,"ns"
"id","poll","7","9",213,-3.98619155614433,9.22403030614895e-05,0.00608786000205831,"**"
"id","poll","7","10",213,-1.7690921316637,0.07830955449115,1,"ns"
"id","poll","7","11",213,-2.8040563083697,0.00551280457167312,0.363845101730426,"ns"
"id","poll","7","12",213,-4.86403308315951,2.23390321789926e-06,0.000147437612381351,"***"
"id","poll","7","13",213,-4.91379097627037,1.77995854514353e-06,0.000117477263979473,"***"
"id","poll","8","9",213,-3.7544139596554,0.00022414663868517,0.0147936781532212,"*"
"id","poll","8","10",213,-1.54030533913995,0.124970215901553,1,"ns"
"id","poll","8","11",213,-2.57526951584594,0.0106933074900401,0.705758294342645,"ns"
"id","poll","8","12",213,-4.63524629063576,6.2110489024781e-06,0.000409929227563555,"***"
"id","poll","8","13",213,-4.68500418374661,4.98794115008486e-06,0.0003292041159056,"***"
"id","poll","9","10",213,2.16566253975728,0.0314478619684448,1,"ns"
"id","poll","9","11",213,1.13069836305129,0.25945361171787,1,"ns"
"id","poll","9","12",213,-0.929278411738529,0.353796747416279,1,"ns"
"id","poll","9","13",213,-0.979036304849384,0.328672709204854,1,"ns"
"id","poll","10","11",213,-1.02194524113971,0.30796609714719,1,"ns"
"id","poll","10","12",213,-3.05600932686971,0.00252983335394659,0.166969001360475,"ns"
"id","poll","10","13",213,-3.1051413096168,0.00216039181239528,0.142585859618089,"ns"
"id","poll","11","12",213,-2.03406408573,0.0431847928916742,1,"ns"
"id","poll","11","13",213,-2.08319606847709,0.0384267393093638,1,"ns"
"id","poll","12","13",213,-0.0491319827470916,0.9608601551551,1,"ns"
