"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",16,0,0.013,0,0.001,0.002,0.004,0.001,0.002,"a"
"dry2dry5_Middlestream","poll",19,0,0.018,0,0.004,0.003,0.005,0.001,0.002,"a"
"dry2dry5_Upstream","poll",12,0,0.009,0,0,0.001,0.003,0.001,0.002,"a"
"dry2wet5_Downstream","poll",12,0,0.006,0,0,0.001,0.002,0.001,0.001,"a"
"dry2wet5_Middlestream","poll",15,0,0.049,0,0,0.004,0.012,0.003,0.007,"a"
"dry2wet5_Upstream","poll",9,0,0.003,0,0,0,0.001,0,0.001,"a"
"other_Downstream","poll",36,0,0.019,0,0.003,0.003,0.006,0.001,0.002,"a"
"other_Middlestream","poll",42,0,0.026,0.001,0.008,0.006,0.008,0.001,0.003,"a"
"other_Upstream","poll",21,0,0.018,0,0,0.002,0.005,0.001,0.002,"a"
"wet2wet5_Downstream","poll",12,0,0.007,0,0.003,0.002,0.003,0.001,0.002,"a"
"wet2wet5_Middlestream","poll",20,0,0.015,0.003,0.005,0.003,0.004,0.001,0.002,"a"
"wet2wet5_Upstream","poll",11,0,0.005,0,0.001,0.001,0.002,0.001,0.001,"a"
