"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",20,0,0.01,0,0,0.001,0.003,0.001,0.001,"a"
"2","poll",19,0,0.013,0,0,0.001,0.003,0.001,0.001,"a"
"3","poll",14,0,0.018,0,0.003,0.003,0.005,0.001,0.003,"a"
"4","poll",18,0,0.049,0.005,0.018,0.011,0.013,0.003,0.006,"b"
"5","poll",18,0,0.025,0,0.005,0.004,0.007,0.002,0.004,"a"
"7","poll",20,0,0.018,0,0.003,0.002,0.004,0.001,0.002,"a"
"8","poll",20,0,0.02,0,0.004,0.003,0.005,0.001,0.002,"a"
"9","poll",20,0,0.013,0.003,0.005,0.003,0.004,0.001,0.002,"a"
"10","poll",19,0,0.015,0,0.003,0.002,0.004,0.001,0.002,"a"
"11","poll",19,0,0.016,0,0.002,0.002,0.005,0.001,0.002,"a"
"12","poll",19,0,0.019,0,0,0.002,0.005,0.001,0.003,"a"
"13","poll",19,0,0.019,0,0.001,0.002,0.005,0.001,0.002,"a"
