"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,-0.566284682522264,0.571796428315027,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,0.240319908387926,0.81031339778657,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,0.359166391540944,0.719826407496485,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,-1.00361015851948,0.316705320326198,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,0.497217557578,0.619548492874941,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,-0.777399656457542,0.437785578054017,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,-2.43510154095652,0.0157104145233671,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,-0.17055753019437,0.864733594258521,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,-0.0147652261844084,0.988233302785259,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,-0.761938238830847,0.446939715877983,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,0.219216397692434,0.826691404284346,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,0.769985499457619,0.442161607529522,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,0.89306941759797,0.372827886236853,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,-0.487987484368646,0.62606064753943,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,0.986825624449253,0.324847775193928,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,-0.146115193339532,0.883968641771187,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,-1.89254149806675,0.0597750151307743,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,0.428104823491997,0.669007359156723,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,0.505805382473447,0.613516331475319,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",213,-0.197949875035008,0.843273070155558,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",213,0.733786208318332,0.463885963470447,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",213,0.111170705395397,0.911585665977896,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",213,-1.16826943771152,0.244004046297698,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",213,0.261703284603167,0.793803101503682,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",213,-0.97605962351957,0.330142138921555,1,"ns"
