"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,-0.0380976171453515,0.969645533760489,1,"ns"
"id","poll","1","3",213,-0.976994576084547,0.329680141741663,1,"ns"
"id","poll","1","4",213,-5.29402217515349,2.97020083029857e-07,1.96033254799706e-05,"****"
"id","poll","1","5",213,-1.66781659009111,0.0968215949827416,1,"ns"
"id","poll","1","7",213,-0.613114860685964,0.540454504721907,1,"ns"
"id","poll","1","8",213,-1.21000101936184,0.227619629033279,1,"ns"
"id","poll","1","9",213,-1.31287448634101,0.190637968539289,1,"ns"
"id","poll","1","10",213,-0.672009956443132,0.5023056120382,1,"ns"
"id","poll","1","11",213,-0.840919871918779,0.401335850391425,1,"ns"
"id","poll","1","12",213,-0.800907370790875,0.424077737529668,1,"ns"
"id","poll","1","13",213,-0.711165046832576,0.477760019627521,1,"ns"
"id","poll","2","3",213,-0.931925461234819,0.352430155963698,1,"ns"
"id","poll","2","4",213,-5.19213249807028,4.84422568775206e-07,3.19718895391636e-05,"****"
"id","poll","2","5",213,-1.61030091647623,0.10881312224695,1,"ns"
"id","poll","2","7",213,-0.567105752593153,0.571239498470555,1,"ns"
"id","poll","2","8",213,-1.15628983170152,0.248857874121644,1,"ns"
"id","poll","2","9",213,-1.25783584349255,0.209828342856973,1,"ns"
"id","poll","2","10",213,-0.625938281754787,0.532025573677642,1,"ns"
"id","poll","2","11",213,-0.792723459625426,0.428821026273933,1,"ns"
"id","poll","2","12",213,-0.753214280434411,0.45215287631956,1,"ns"
"id","poll","2","13",213,-0.664600835677419,0.507024701556993,1,"ns"
"id","poll","3","4",213,-3.8713304045674,0.000143955644029742,0.009501072505963,"**"
"id","poll","3","5",213,-0.565213154204732,0.572523634157139,1,"ns"
"id","poll","3","7",213,0.420601906158017,0.674469837280812,1,"ns"
"id","poll","3","8",213,-0.121063456668614,0.903754901247876,1,"ns"
"id","poll","3","9",213,-0.214419606759478,0.830424987404941,1,"ns"
"id","poll","3","10",213,0.355353446445744,0.722676463260432,1,"ns"
"id","poll","3","11",213,0.20172221978193,0.840326410988832,1,"ns"
"id","poll","3","12",213,0.238115403763206,0.81202049528849,1,"ns"
"id","poll","3","13",213,0.319740116406927,0.749478742798505,1,"ns"
"id","poll","4","5",213,3.53438800896006,0.00050125705993638,0.0330829659558011,"*"
"id","poll","4","7",213,4.69725999105229,4.7244007014507e-06,0.000311810446295746,"***"
"id","poll","4","8",213,4.1162936655702,5.50516763704456e-05,0.00363341064044941,"**"
"id","poll","4","9",213,4.01616398551014,8.19914523381419e-05,0.00541143585431737,"**"
"id","poll","4","10",213,4.57471078025342,8.09135362936215e-06,0.000534029339537902,"***"
"id","poll","4","11",213,4.41019489421656,1.63856189474338e-05,0.00108145085053063,"**"
"id","poll","4","12",213,4.44916650850617,1.38876713736875e-05,0.000916586310663378,"***"
"id","poll","4","13",213,4.53657427198431,9.54558090455552e-06,0.000630008339700665,"***"
"id","poll","5","7",213,1.07105440598991,0.285357077958985,1,"ns"
"id","poll","5","8",213,0.490088080507818,0.624575991681334,1,"ns"
"id","poll","5","9",213,0.389958400447763,0.696956968141152,1,"ns"
"id","poll","5","10",213,0.992879198659378,0.321895404408248,1,"ns"
"id","poll","5","11",213,0.828363312622518,0.408391993695091,1,"ns"
"id","poll","5","12",213,0.867334926912129,0.386734584150423,1,"ns"
"id","poll","5","13",213,0.954742690390262,0.340790110314777,1,"ns"
"id","poll","7","8",213,-0.596886158675876,0.551217298865004,1,"ns"
"id","poll","7","9",213,-0.699759625655044,0.484840953751349,1,"ns"
"id","poll","7","10",213,-0.0668065867046289,0.946798345033524,1,"ns"
"id","poll","7","11",213,-0.235716502180276,0.813879150173272,1,"ns"
"id","poll","7","12",213,-0.195704001052372,0.845028423011293,1,"ns"
"id","poll","7","13",213,-0.105961677094073,0.915712482695252,1,"ns"
"id","poll","8","9",213,-0.102873466979168,0.918160183781035,1,"ns"
"id","poll","8","10",213,0.522377492403734,0.601950391281163,1,"ns"
"id","poll","8","11",213,0.353467576928088,0.724087527430488,1,"ns"
"id","poll","8","12",213,0.393480078055991,0.694358511817367,1,"ns"
"id","poll","8","13",213,0.48322240201429,0.629434161552835,1,"ns"
"id","poll","9","10",213,0.623923504194769,0.533345448901939,1,"ns"
"id","poll","9","11",213,0.455013588719122,0.649562891944646,1,"ns"
"id","poll","9","12",213,0.495026089847025,0.621091960324727,1,"ns"
"id","poll","9","13",213,0.584768413805325,0.559322350592944,1,"ns"
"id","poll","10","11",213,-0.166785177870638,0.867697305518883,1,"ns"
"id","poll","10","12",213,-0.127275998679623,0.898842030065691,1,"ns"
"id","poll","10","13",213,-0.0386625539226318,0.969195641206685,1,"ns"
"id","poll","11","12",213,0.0395091791910148,0.968521441982936,1,"ns"
"id","poll","11","13",213,0.128122623948007,0.898172817621424,1,"ns"
"id","poll","12","13",213,0.0886134447569917,0.929472382307462,1,"ns"
