"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",31,475.1,2626,2321,160,2235.261,420.051,75.443,154.076,"ab"
"2","poll",30,950.1,3011,2374,338.75,2382.103,379.878,69.356,141.849,"abcd"
"3","poll",21,575.6,3863,2479,415,2281.324,827.11,180.49,376.496,"abc"
"4","poll",28,352.7,3285,2321,1005.75,2086.3,760.025,143.631,294.707,"a"
"5","poll",29,692.3,4403,3108,601,3006.355,840.836,156.139,319.837,"def"
"7","poll",31,751.2,3593,3128,407,2891.006,637.521,114.502,233.844,"cde"
"8","poll",32,1003,4746,3667.5,820,3411.5,816.975,144.422,294.551,"efg"
"9","poll",31,1122,4161,2884,577,2827.677,621.653,111.652,228.024,"bcde"
"10","poll",31,1007,4260,3454,731,3202.774,728.445,130.833,267.196,"efg"
"11","poll",30,1044,5433,3239,1264,3407.333,941.19,171.837,351.446,"efg"
"12","poll",29,1990,5095,3818,1223,3817.414,816.202,151.565,310.467,"g"
"13","poll",30,1129,5048,3708.5,1080,3632.867,847.265,154.689,316.374,"fg"
