"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",3635.3125,118.506279104105,341,3402.21715152149,3868.40784847851,"Emmeans test"
"dry2dry5_Middlestream",3121.30769230769,107.345550585206,341,2910.16488442917,3332.45050018621,"Emmeans test"
"dry2dry5_Upstream",2429.19047619047,146.287326858449,341,2141.45133114394,2716.92962123699,"Emmeans test"
"dry2wet5_Downstream",3173.91666666666,193.519943413938,341,2793.27355654093,3554.55977679238,"Emmeans test"
"dry2wet5_Middlestream",3010.9375,167.593187135396,341,2681.29089685561,3340.58410314439,"Emmeans test"
"dry2wet5_Upstream",2446.33333333333,223.457582847195,341,2006.80452914081,2885.86213752586,"Emmeans test"
"other_Downstream",3906.76923076923,92.9639737900161,341,3723.91419532006,4089.62426621841,"Emmeans test"
"other_Middlestream",3133.88524590164,85.8324351153045,341,2965.05755571329,3302.71293608998,"Emmeans test"
"other_Upstream",2453.3125,118.506279104105,341,2220.21715152149,2686.40784847851,"Emmeans test"
"wet2wet5_Downstream",2651.16666666666,136.839264282832,341,2382.01134228483,2920.3219910485,"Emmeans test"
"wet2wet5_Middlestream",2027.85428571428,113.313676136794,341,1804.97250235085,2250.73606907771,"Emmeans test"
"wet2wet5_Upstream",1856.4,149.899903600236,341,1561.5551147269,2151.2448852731,"Emmeans test"
