"id","emmean","se","df","conf.low","conf.high","method"
"1",2235.26129032258,131.97153436772,341,1975.68052358815,2494.84205705701,"Emmeans test"
"2",2382.10333333333,134.153029830921,341,2118.23168472292,2645.97498194375,"Emmeans test"
"3",2281.32380952381,160.343539282808,341,1965.9368659124,2596.71075313521,"Emmeans test"
"4",2086.3,138.861578351619,341,1813.16689481059,2359.43310518941,"Emmeans test"
"5",3006.35517241379,136.446410142753,341,2737.97257056932,3274.73777425826,"Emmeans test"
"7",2891.00645161291,131.971534367721,341,2631.42568487848,3150.58721834733,"Emmeans test"
"8",3411.5,129.893112594606,341,3156.00737484888,3666.99262515111,"Emmeans test"
"9",2827.67741935484,131.97153436772,341,2568.09665262041,3087.25818608926,"Emmeans test"
"10",3202.77419354839,131.97153436772,341,2943.19342681396,3462.35496028281,"Emmeans test"
"11",3407.33333333333,134.153029830922,341,3143.46168472291,3671.20498194375,"Emmeans test"
"12",3817.41379310345,136.446410142753,341,3549.03119125898,4085.79639494792,"Emmeans test"
"13",3632.86666666667,134.153029830922,341,3368.99501805625,3896.73831527709,"Emmeans test"
