"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",341,3.2146148608023,0.00143102059515358,0.0944473592801362,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",341,6.40651132349964,4.94466076449616e-10,3.26347610456747e-08,"****"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",341,2.03327720037101,0.0427985679372415,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",341,3.04189007578744,0.00253323600001873,0.167193576001236,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",341,4.70069646948559,3.76892404799661e-06,0.000248748987167776,"***"
"grop","poll","dry2dry5_Downstream","other_Downstream",341,-1.80227592344803,0.0723849475715706,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",341,3.42680992833641,0.000685378191308267,0.0452349606263456,"*"
"grop","poll","dry2dry5_Downstream","other_Upstream",341,7.05279265943596,9.81577055342245e-12,6.47840856525882e-10,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",341,5.43662907294262,1.03667899028047e-07,6.8420813358511e-06,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",341,9.80381146640372,3.7399486641378e-20,2.46836611833095e-18,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",341,9.30950416564393,1.6148760948074e-18,1.06581822257288e-16,"****"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",341,3.81442979935731,0.000162010113125005,0.0106926674662503,"*"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",341,-0.237728539452498,0.812234419175081,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",341,0.554557263478347,0.579561054654426,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",341,2.72272552792453,0.00680747799614831,0.449293547745789,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",341,-5.53123170611502,6.34074537384543e-08,4.18489194673798e-06,"****"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",341,-0.0915117891196192,0.927139672708139,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",341,4.17767935241225,3.74545311987364e-05,0.0024719990591166,"**"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",341,2.70320790439997,0.00721132183361542,0.475947241018618,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",341,7.00542352396924,1.32031197728064e-11,8.71405905005226e-10,"****"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",341,6.86062652051627,3.23890403745105e-11,2.1376766647177e-09,"****"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",341,-3.06989538813605,0.00231316991948966,0.152669214686317,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",341,-2.61508973158654,0.00931653361233172,0.614891218413893,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",341,-0.064185529661924,0.948860108440078,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",341,-8.5247995460884,5.03328768754722e-16,3.32196987378116e-14,"****"
"grop","poll","dry2dry5_Upstream","other_Middlestream",341,-4.15482116647864,4.12012671824937e-05,0.00271928363404458,"**"
"grop","poll","dry2dry5_Upstream","other_Upstream",341,-0.128128013277946,0.898123196608809,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",341,-1.10815128340335,0.26857747727099,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",341,2.16891048701022,0.0307801453235736,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",341,2.73471551016041,0.0065696266894942,0.433595361506617,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",341,0.63663035193105,0.524792766131263,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",341,2.4613230631934,0.0143372022875763,0.946255350980036,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",341,-3.41352091496733,0.000718516598253229,0.0474220954847131,"*"
"grop","poll","dry2wet5_Downstream","other_Middlestream",341,0.189094441641012,0.850131292984659,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",341,3.17555538373735,0.00163190956174374,0.107706031075087,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",341,2.20557933280805,0.028080152163338,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",341,5.110549769558,5.36153574851862e-07,3.53861359402229e-05,"****"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",341,5.38233094791124,1.37051745642395e-07,9.04541521239809e-06,"****"
