"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",341,-0.780307645190703,0.435751110794824,1,"ns"
"id","poll","1","3",341,-0.221807075496592,0.824596844213292,1,"ns"
"id","poll","1","4",341,0.777581947501591,0.437354633703667,1,"ns"
"id","poll","1","5",341,-4.06209770416931,6.03917795824087e-05,0.00398585745243897,"**"
"id","poll","1","7",341,-3.51349897157874,0.000501854106399949,0.0331223710223966,"*"
"id","poll","1","8",341,-6.3521378776108,6.7898768071448e-10,4.48131869271557e-08,"****"
"id","poll","1","9",341,-3.17418043315145,0.00163943465246106,0.10820268706243,"ns"
"id","poll","1","10",341,-5.18395832884843,3.72966460505185e-07,2.46157863933422e-05,"****"
"id","poll","1","11",341,-6.228303264676,1.38757705270734e-09,9.15800854786844e-08,"****"
"id","poll","1","12",341,-8.33472836246893,1.92991766721119e-15,1.27374566035939e-13,"****"
"id","poll","1","13",341,-7.4267705471862,8.99764886435919e-13,5.93844825047707e-11,"****"
"id","poll","2","3",341,0.482054760050466,0.630076297333229,1,"ns"
"id","poll","2","4",341,1.53203115441252,0.126441924957777,1,"ns"
"id","poll","2","5",341,-3.26236341372325,0.00121658529027436,0.0802946291581075,"ns"
"id","poll","2","7",341,-2.70427314761519,0.00718873539806934,0.474456536272576,"ns"
"id","poll","2","8",341,-5.51266264966329,6.98673859317005e-08,4.61124747149224e-06,"****"
"id","poll","2","9",341,-2.36774740185257,0.0184542513424073,1,"ns"
"id","poll","2","10",341,-4.36098363439506,1.71716913201898e-05,0.00113333162713253,"**"
"id","poll","2","11",341,-5.40388156860537,1.22709755287127e-07,8.09884384895039e-06,"****"
"id","poll","2","12",341,-7.50098604144408,5.54334280327109e-13,3.65860625015892e-11,"****"
"id","poll","2","13",341,-6.59264450287978,1.64481066245777e-10,1.08557503722213e-08,"****"
"id","poll","3","4",341,0.919426772299308,0.358522305795721,1,"ns"
"id","poll","3","5",341,-3.44365253449126,0.000645427508689428,0.0425982155735022,"*"
"id","poll","3","7",341,-2.93583430016161,0.00355234310199588,0.234454644731728,"ns"
"id","poll","3","8",341,-5.47686129764762,8.41778105099075e-08,5.55573549365389e-06,"****"
"id","poll","3","9",341,-2.6308829496324,0.008902851528849,0.587588200904034,"ns"
"id","poll","3","10",341,-4.43710457960045,1.23228256609751e-05,0.000813306493624358,"***"
"id","poll","3","11",341,-5.38599737621734,1.34501760351634e-07,8.87711618320786e-06,"****"
"id","poll","3","12",341,-7.29590530273837,2.09668729304791e-12,1.38381361341162e-10,"****"
"id","poll","3","13",341,-6.46478216080179,3.51215685102058e-10,2.31802352167358e-08,"****"
"id","poll","4","5",341,-4.72599594894437,3.35414612873937e-06,0.000221373644496799,"***"
"id","poll","4","7",341,-4.200589350812,3.40266592124123e-05,0.00224575950801921,"**"
"id","poll","4","8",341,-6.96945300321926,1.65209129446012e-11,1.09038025434368e-09,"****"
"id","poll","4","9",341,-3.87001009676565,0.000130399465504421,0.00860636472329179,"**"
"id","poll","4","10",341,-5.82802536064636,1.29971776067795e-08,8.57813722047447e-07,"****"
"id","poll","4","11",341,-6.84192500428455,3.6333502760805e-11,2.39801118221313e-09,"****"
"id","poll","4","12",341,-8.89211540641077,3.55572208504401e-17,2.34677657612905e-15,"****"
"id","poll","4","13",341,-8.01001222335522,1.83305360378165e-14,1.20981537849589e-12,"****"
"id","poll","5","7",341,0.60765334134595,0.543821862719992,1,"ns"
"id","poll","5","8",341,-2.15059314099414,0.0322107894506449,1,"ns"
"id","poll","5","9",341,0.94126864100974,0.347233529055689,1,"ns"
"id","poll","5","10",341,-1.03472906910139,0.301528693896162,1,"ns"
"id","poll","5","11",341,-2.09552683707406,0.0368612059045932,1,"ns"
"id","poll","5","12",341,-4.20315235871323,3.366234570645e-05,0.0022217148166257,"**"
"id","poll","5","13",341,-3.27417245600494,0.00116836009623422,0.0771117663514588,"ns"
"id","poll","7","8",341,-2.81086377838086,0.00522638753120302,0.344941577059399,"ns"
"id","poll","7","9",341,0.339318538427303,0.734578652812904,1,"ns"
"id","poll","7","10",341,-1.67045935726967,0.0957460559983602,1,"ns"
"id","poll","7","11",341,-2.74372247187011,0.00639591677879574,0.422130507400519,"ns"
"id","poll","7","12",341,-4.88028399964556,1.62958018791227e-06,0.00010755229240221,"***"
"id","poll","7","13",341,-3.94218975438031,9.79949083933794e-05,0.00646766395396304,"**"
"id","poll","8","9",341,3.15286471853802,0.00176027384726408,0.116178073919429,"ns"
"id","poll","8","10",341,1.12719900330415,0.260450891649442,1,"ns"
"id","poll","8","11",341,0.0223134856083216,0.98221094252654,1,"ns"
"id","poll","8","12",341,-2.15467497014374,0.0318871228012206,1,"ns"
"id","poll","8","13",341,-1.18547086339943,0.236656766305168,1,"ns"
"id","poll","9","10",341,-2.00977789569697,0.0452420392800989,1,"ns"
"id","poll","9","11",341,-3.08024821763273,0.00223637143663908,0.147600514818179,"ns"
"id","poll","9","12",341,-5.21389929930935,3.21271165982928e-07,2.12038969548732e-05,"****"
"id","poll","9","13",341,-4.27871550014293,2.44499716934623e-05,0.00161369813176851,"**"
"id","poll","10","11",341,-1.08701198509025,0.277799262953816,1,"ns"
"id","poll","10","12",341,-3.23790158919823,0.00132241087349789,0.0872791176508607,"ns"
"id","poll","10","13",341,-2.28547926760045,0.0228979847278808,1,"ns"
"id","poll","11","12",341,-2.14309579064677,0.0328126586357103,1,"ns"
"id","poll","11","13",341,-1.1887629342744,0.235360148541976,1,"ns"
"id","poll","12","13",341,0.96445017171589,0.335503728095469,1,"ns"
