"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",20,0,0.136,0.015,0.039,0.031,0.039,0.009,0.018,"a"
"2","poll",19,0,0.222,0.009,0.024,0.035,0.061,0.014,0.03,"a"
"3","poll",14,0.003,0.173,0.019,0.061,0.052,0.062,0.017,0.036,"ab"
"4","poll",18,0.011,0.86,0.074,0.144,0.166,0.226,0.053,0.113,"b"
"5","poll",18,0.003,0.249,0.021,0.04,0.056,0.073,0.017,0.036,"ab"
"7","poll",20,0.004,0.188,0.024,0.061,0.048,0.052,0.012,0.024,"a"
"8","poll",20,0.002,0.283,0.029,0.072,0.055,0.069,0.015,0.032,"ab"
"9","poll",20,0.004,0.176,0.027,0.034,0.045,0.049,0.011,0.023,"a"
"10","poll",19,0.005,0.881,0.03,0.084,0.102,0.202,0.046,0.098,"ab"
"11","poll",19,0.005,0.155,0.043,0.029,0.053,0.042,0.01,0.02,"ab"
"12","poll",19,0.004,0.163,0.033,0.049,0.052,0.048,0.011,0.023,"a"
"13","poll",19,0.002,0.322,0.036,0.057,0.061,0.074,0.017,0.035,"ab"
