"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,-0.149164080585284,0.881565295826329,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,-0.473369946210715,0.636434045785544,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,-0.622635760511832,0.534189918605061,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,-0.430375037608684,0.667357989871743,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,0.899853247473301,0.369214562196382,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,-0.0814694433699003,0.935145126136446,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,0.0653664142458828,0.947943573078724,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,0.976167471425574,0.330088825463395,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,0.26973934279608,0.787621932915838,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,-0.783399333436044,0.43426285167309,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,1.13924406618416,0.255880954416739,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,-0.352986521084208,0.724447619262387,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,-0.507574362315796,0.612277032902663,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,-0.301285799026283,0.763490487841638,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,1.05165055386263,0.294151528898554,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,0.0921635929751621,0.926654686020209,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,0.252519644785325,0.800882947039785,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,1.1829376328097,0.238152554705901,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,0.416618102215277,0.677377295393445,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",213,-0.662211603103349,0.508551461946164,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",213,1.31134469708874,0.191153160514971,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",213,-0.139625384168148,0.889087917446319,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",213,0.0673779286091502,0.946344043334161,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",213,1.26023179497377,0.208964651798623,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",213,0.468877838693524,0.639636490290979,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Middlestream",213,0.610933089506753,0.541895265276948,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",213,1.39469869622591,0.164559520894323,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",213,0.695115090098152,0.487740786856626,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",213,-0.224536097211671,0.822555428015471,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",213,1.50203368755608,0.13456944714397,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",213,0.214556006324938,0.830318767077839,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",213,1.38949978207511,0.166131552030812,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",213,0.639883311869546,0.522936128073518,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Middlestream",213,0.785076539524722,0.433281033198294,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",213,1.5522173735189,0.122094767149828,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",213,0.834740474266302,0.404799100795425,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",213,-0.0684301720194203,0.945507399575558,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",213,1.63859000718286,0.102774935408073,1,"ns"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",213,1.25609137939552,0.210458821502101,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",213,0.423656246663033,0.672244027114576,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Middlestream",213,0.578070847114338,0.563826930650234,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Upstream",213,1.41574464634338,0.158310831758273,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Downstream",213,0.665337711611956,0.506554315073665,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Middlestream",213,-0.316438574617473,0.751979536696537,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Upstream",213,1.51373365461063,0.131575814589855,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Downstream",213,-1.07174928066798,0.285045493895786,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Middlestream",213,-0.968473280778812,0.333906450694866,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Upstream",213,-0.128022997711502,0.89825156310951,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Downstream",213,-0.616680272905697,0.538104198546432,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Middlestream",213,-1.58874052785496,0.11360221666728,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Upstream",213,0.158575204944339,0.874153810213394,1,"ns"
"grop","poll","other_Downstream","other_Middlestream",213,0.192323749482076,0.847671852802262,1,"ns"
"grop","poll","other_Downstream","other_Upstream",213,1.26886761823319,0.205873142180421,1,"ns"
"grop","poll","other_Downstream","wet2wet5_Downstream",213,0.38246080293109,0.702500948636859,1,"ns"
"grop","poll","other_Downstream","wet2wet5_Middlestream",213,-0.854402967581506,0.393841680201041,1,"ns"
"grop","poll","other_Downstream","wet2wet5_Upstream",213,1.36626561444531,0.173296262047836,1,"ns"
"grop","poll","other_Middlestream","other_Upstream",213,1.14019379370236,0.255486042441091,1,"ns"
"grop","poll","other_Middlestream","wet2wet5_Downstream",213,0.256027747667842,0.798176503399683,1,"ns"
"grop","poll","other_Middlestream","wet2wet5_Middlestream",213,-1.03785607120143,0.300513814038565,1,"ns"
"grop","poll","other_Middlestream","wet2wet5_Upstream",213,1.26072549668715,0.208787005292757,1,"ns"
"grop","poll","other_Upstream","wet2wet5_Downstream",213,-0.610503113087588,0.542179433195571,1,"ns"
"grop","poll","other_Upstream","wet2wet5_Middlestream",213,-1.87777656789373,0.061778298476068,1,"ns"
"grop","poll","other_Upstream","wet2wet5_Upstream",213,0.328538184872898,0.742827541145598,1,"ns"
"grop","poll","wet2wet5_Downstream","wet2wet5_Middlestream",213,-1.00169839403435,0.317625884957518,1,"ns"
"grop","poll","wet2wet5_Downstream","wet2wet5_Upstream",213,0.822197717998216,0.411883810319663,1,"ns"
"grop","poll","wet2wet5_Middlestream","wet2wet5_Upstream",213,1.88868848125661,0.0602924816777889,1,"ns"
