"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,-0.144000267524271,0.885636407346354,1,"ns"
"id","poll","1","3",213,-0.596904573241105,0.551205026524169,1,"ns"
"id","poll","1","4",213,-4.09573525783392,5.97798067340352e-05,0.00394546724444632,"**"
"id","poll","1","5",213,-0.755061515296162,0.451046147722515,1,"ns"
"id","poll","1","7",213,-0.54018567402507,0.589633338693898,1,"ns"
"id","poll","1","8",213,-0.742358792438253,0.458687839118061,1,"ns"
"id","poll","1","9",213,-0.434185508802592,0.664593221976739,1,"ns"
"id","poll","1","10",213,-2.19932587031636,0.0289306351723534,1,"ns"
"id","poll","1","11",213,-0.697023465294707,0.486548146191099,1,"ns"
"id","poll","1","12",213,-0.640200812381721,0.522730118331052,1,"ns"
"id","poll","1","13",213,-0.946529359219998,0.34495120346504,1,"ns"
"id","poll","2","3",213,-0.45956506141687,0.646297143393141,1,"ns"
"id","poll","2","4",213,-3.90536136479635,0.000126300953624487,0.00833586293921615,"**"
"id","poll","2","5",213,-0.605567562670296,0.545446648901973,1,"ns"
"id","poll","2","7",213,-0.3892149767428,0.69750595968584,1,"ns"
"id","poll","2","8",213,-0.588779300460719,0.556633197069731,1,"ns"
"id","poll","2","9",213,-0.284582612892236,0.776240418009498,1,"ns"
"id","poll","2","10",213,-2.02947142136946,0.043654149114275,1,"ns"
"id","poll","2","11",213,-0.546066654210303,0.585591602212891,1,"ns"
"id","poll","2","12",213,-0.489958780101868,0.624667334179643,1,"ns"
"id","poll","2","13",213,-0.792433984280408,0.428989369409959,1,"ns"
"id","poll","3","4",213,-3.15049986932409,0.00186419741573006,0.123037029438184,"ns"
"id","poll","3","5",213,-0.104710316317347,0.916704209826746,1,"ns"
"id","poll","3","7",213,0.106694061803486,0.915132115116329,1,"ns"
"id","poll","3","8",213,-0.0767750536171229,0.938874563337004,1,"ns"
"id","poll","3","9",213,0.202887644315582,0.839416526320638,1,"ns"
"id","poll","3","10",213,-1.40984676477055,0.1600434213956,1,"ns"
"id","poll","3","11",213,-0.0434346115612794,0.965395777768928,1,"ns"
"id","poll","3","12",213,0.00824816765704771,0.993426708973487,1,"ns"
"id","poll","3","13",213,-0.270371534924553,0.787136229404164,1,"ns"
"id","poll","4","5",213,3.25608599416188,0.00131417003535989,0.0867352223337526,"ns"
"id","poll","4","7",213,3.56995713154497,0.000441224714608225,0.0291208311641429,"*"
"id","poll","4","8",213,3.37317626804442,0.000882607271823077,0.0582520799403231,"ns"
"id","poll","4","9",213,3.67313011619988,0.000303074748900101,0.0200029334274067,"*"
"id","poll","4","10",213,1.90350308616653,0.0583231086581938,1,"ns"
"id","poll","4","11",213,3.36672453507596,0.000902435393737666,0.059560735986686,"ns"
"id","poll","4","12",213,3.42206900117566,0.000745049163875885,0.0491732448158084,"*"
"id","poll","4","13",213,3.12370929766406,0.00203424566049808,0.134260213592874,"ns"
"id","poll","5","7",213,0.22928338900721,0.818868673256949,1,"ns"
"id","poll","5","8",213,0.0325025255066624,0.974101738210014,1,"ns"
"id","poll","5","9",213,0.332456373662125,0.739871628921067,1,"ns"
"id","poll","5","10",213,-1.39629071595952,0.164080394382895,1,"ns"
"id","poll","5","11",213,0.0669307329499055,0.946699628837285,1,"ns"
"id","poll","5","12",213,0.122275199049604,0.902796359357899,1,"ns"
"id","poll","5","13",213,-0.176084504461994,0.860394851236743,1,"ns"
"id","poll","7","8",213,-0.202173118413184,0.839974354275318,1,"ns"
"id","poll","7","9",213,0.106000165222477,0.915681982210161,1,"ns"
"id","poll","7","10",213,-1.66611062604929,0.0971612875581759,1,"ns"
"id","poll","7","11",213,-0.163808221027637,0.870037447046769,1,"ns"
"id","poll","7","12",213,-0.106985568114651,0.914901127850927,1,"ns"
"id","poll","7","13",213,-0.413314114952929,0.679792289531236,1,"ns"
"id","poll","8","9",213,0.30817328363566,0.758251641963309,1,"ns"
"id","poll","8","10",213,-1.46654630233137,0.143974337819732,1,"ns"
"id","poll","8","11",213,0.0357561026902816,0.971510322259617,1,"ns"
"id","poll","8","12",213,0.0925787556032673,0.926325237833367,1,"ns"
"id","poll","8","13",213,-0.21374979123501,0.830946647398735,1,"ns"
"id","poll","9","10",213,-1.77074298989986,0.0780336960436528,1,"ns"
"id","poll","9","11",213,-0.268440584878201,0.788620009507189,1,"ns"
"id","poll","9","12",213,-0.211617931965215,0.832607462111468,1,"ns"
"id","poll","9","13",213,-0.517946478803492,0.605033164476157,1,"ns"
"id","poll","10","11",213,1.48340476715915,0.139445062291908,1,"ns"
"id","poll","10","12",213,1.53951264126759,0.125163436577654,1,"ns"
"id","poll","10","13",213,1.23703743708905,0.217435284291499,1,"ns"
"id","poll","11","12",213,0.0561078741084343,0.955308466711444,1,"ns"
"id","poll","11","13",213,-0.246367330070105,0.805635154900131,1,"ns"
"id","poll","12","13",213,-0.30247520417854,0.762585000384282,1,"ns"
