"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,1.85553446787022,0.0649014864402981,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,2.48370423728127,0.0137736772796117,0.909062700454374,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,-0.362676031006465,0.717206523689536,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,0.843608197962171,0.399834783557346,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,3.00432614196787,0.0029805818222255,0.196718400266883,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,0.766465349282777,0.444248086254971,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,1.48111193301319,0.140054496041547,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,5.22207376381843,4.1985708117548e-07,2.77105673575817e-05,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,-2.52621520207046,0.0122569208335325,0.808956775013146,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,-0.603944337799121,0.546523330648885,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,3.39013405379836,0.00083241329476562,0.0549392774545309,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,0.864790930321761,0.388126442562046,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,-2.08307615538041,0.038437782305081,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,-0.94503594779604,0.345711297364375,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,1.53762091313332,0.125625494309685,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,-1.40816898188933,0.160538923076053,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,-0.703393116211099,0.482578944280036,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,3.48457911979129,0.00059830134718062,0.0394878889139209,"*"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,-4.32375565350084,2.35555763441983e-05,0.00155466803871709,"**"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",213,-2.59759977279067,0.0100426311809887,0.662813657945257,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",213,1.84293291348011,0.066728449349181,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",213,-2.6625449391016,0.00834722511785091,0.55091685777816,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",213,-1.66613012742892,0.0971573990169833,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",213,0.687870402519193,0.492282789024049,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",213,-2.15455813837963,0.032318706896085,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Middlestream",213,-1.56831630064656,0.118291699949684,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",213,2.16767133289419,0.0312925098774932,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",213,-4.68635051934819,4.95831149290307e-06,0.000327248558531603,"***"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",213,-3.15227836407728,0.00185338784415382,0.122323597714152,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",213,0.90878820605504,0.364489055383111,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",213,1.14043866594287,0.25538428983983,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",213,3.15290802368714,0.00184957473600214,0.122071932576141,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",213,1.10638012063469,0.26981001376243,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Middlestream",213,1.75246067902247,0.0811335025265218,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",213,5.17142712944288,5.34608018354592e-07,3.52841292114031e-05,"****"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",213,-2.02380558024659,0.0442391522855135,1,"ns"
