"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,0.00452005275279289,0.996397762477683,1,"ns"
"id","poll","1","3",213,-1.41959976470378,0.157186087538685,1,"ns"
"id","poll","1","4",213,-4.4079072333475,1.65449249005916e-05,0.00109196504343905,"**"
"id","poll","1","5",213,-5.6751540559384,4.49436665566196e-08,2.96628199273689e-06,"****"
"id","poll","1","7",213,-2.62864905278904,0.00919691266681734,0.606996236009944,"ns"
"id","poll","1","8",213,-2.19702959358571,0.0290966152482544,1,"ns"
"id","poll","1","9",213,-4.24188719408012,3.30535158887602e-05,0.00218153204865817,"**"
"id","poll","1","10",213,-2.95375455087843,0.00349198865608369,0.230471251301523,"ns"
"id","poll","1","11",213,-6.32267540060819,1.4864401960284e-09,9.81050529378745e-08,"****"
"id","poll","1","12",213,-5.26769627133788,3.37252609586787e-07,2.22586722327279e-05,"****"
"id","poll","1","13",213,-5.44851643077655,1.39678925378729e-07,9.21880907499613e-06,"****"
"id","poll","2","3",213,-1.40857389391555,0.160419233154956,1,"ns"
"id","poll","2","4",213,-4.35836998762268,2.03822672152921e-05,0.00134522963620928,"**"
"id","poll","2","5",213,-5.61010946690891,6.24336923198782e-08,4.12062369311196e-06,"****"
"id","poll","2","7",213,-2.59924963217933,0.00999599514918967,0.659735679846518,"ns"
"id","poll","2","8",213,-2.17319968965745,0.0308683878375689,1,"ns"
"id","poll","2","9",213,-4.19167092532448,4.05888595864621e-05,0.0026788647327065,"**"
"id","poll","2","10",213,-2.92106212099764,0.00386414139336528,0.255033331962109,"ns"
"id","poll","2","11",213,-6.24760492088017,2.23431602954248e-09,1.47464857949803e-07,"****"
"id","poll","2","12",213,-5.20589649760807,4.53626115597854e-07,2.99393236294583e-05,"****"
"id","poll","2","13",213,-5.38444209908832,1.91347962112888e-07,1.26289654994506e-05,"****"
"id","poll","3","4",213,-2.63061868121848,0.00914548832026318,0.60360222913737,"ns"
"id","poll","3","5",213,-3.78600451976381,0.000199075966769309,0.0131390138067744,"*"
"id","poll","3","7",213,-0.965860380797828,0.335209390101331,1,"ns"
"id","poll","3","8",213,-0.574172103939397,0.566457187266739,1,"ns"
"id","poll","3","9",213,-2.42985013902359,0.0159334804863925,1,"ns"
"id","poll","3","10",213,-1.28211098911489,0.201197406446999,1,"ns"
"id","poll","3","11",213,-4.34629725206938,2.14394173105449e-05,0.00141500154249596,"**"
"id","poll","3","12",213,-3.38674590022534,0.000842223729236288,0.055586766129595,"ns"
"id","poll","3","13",213,-3.55121003379549,0.000471968152522135,0.0311498980664609,"*"
"id","poll","4","5",213,-1.23515941639061,0.218131870973417,1,"ns"
"id","poll","4","7",213,1.84936812336269,0.0657902184685462,1,"ns"
"id","poll","4","8",213,2.26947565572061,0.0242407405067305,1,"ns"
"id","poll","4","9",213,0.279157419947145,0.780394879687143,1,"ns"
"id","poll","4","10",213,1.47705206033438,0.141138666929363,1,"ns"
"id","poll","4","11",213,-1.80422954483732,0.0726080023387634,1,"ns"
"id","poll","4","12",213,-0.776694685716958,0.438200587719506,1,"ns"
"id","poll","4","13",213,-0.952810982144023,0.341765841818187,1,"ns"
"id","poll","5","7",213,3.11661494595359,0.00208161706011128,0.137386725967345,"ns"
"id","poll","5","8",213,3.53672247831151,0.000497092917635697,0.032808132563956,"*"
"id","poll","5","9",213,1.54640424253804,0.123491426672987,1,"ns"
"id","poll","5","10",213,2.7287915396206,0.00688783020908255,0.454596793799448,"ns"
"id","poll","5","11",213,-0.55249006555109,0.581191935757711,1,"ns"
"id","poll","5","12",213,0.475044793569267,0.635241783851672,1,"ns"
"id","poll","5","13",213,0.298928497142202,0.765286050480972,1,"ns"
"id","poll","7","8",213,0.431619459203323,0.666454571004124,1,"ns"
"id","poll","7","9",213,-1.61323814129109,0.108173325027383,1,"ns"
"id","poll","7","10",213,-0.359024971451895,0.71993204482568,1,"ns"
"id","poll","7","11",213,-3.72794582118166,0.000247421292289571,0.0163298052911117,"*"
"id","poll","7","12",213,-2.67296669191135,0.00810057396621439,0.534637881770149,"ns"
"id","poll","7","13",213,-2.85378685135002,0.00474649338343398,0.313268563306643,"ns"
"id","poll","8","9",213,-2.04485760049441,0.0420986087616702,1,"ns"
"id","poll","8","10",213,-0.785074913973769,0.433281984151981,1,"ns"
"id","poll","8","11",213,-4.15399576370353,4.72925652092182e-05,0.0031213093038084,"**"
"id","poll","8","12",213,-3.09901663443322,0.00220356014061277,0.145434969280443,"ns"
"id","poll","8","13",213,-3.2798367938719,0.00121329107982903,0.0800772112687162,"ns"
"id","poll","9","10",213,1.23339632169325,0.218787298453043,1,"ns"
"id","poll","9","11",213,-2.13552452803651,0.0338598180660339,1,"ns"
"id","poll","9","12",213,-1.0805453987662,0.281121316526567,1,"ns"
"id","poll","9","13",213,-1.26136555820487,0.208556858877192,1,"ns"
"id","poll","10","11",213,-3.32654279988253,0.00103558761148805,0.0683487823582113,"ns"
"id","poll","10","12",213,-2.28483437661043,0.0233073478440946,1,"ns"
"id","poll","10","13",213,-2.46337997809067,0.0145561340799749,0.960704849278345,"ns"
"id","poll","11","12",213,1.0417084232721,0.298727809289537,1,"ns"
"id","poll","11","13",213,0.863162821791854,0.389018815721239,1,"ns"
"id","poll","12","13",213,-0.178545601480241,0.858464216288599,1,"ns"
