"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",16,69.173,103.77,84.051,12.541,85.213,9.513,2.378,5.069,"ab"
"dry2dry5_Middlestream","poll",19,48.273,103.88,70.353,21.649,72.393,15.244,3.497,7.347,"ac"
"dry2dry5_Upstream","poll",12,37.42,55.869,44.042,4.923,45.102,5.691,1.643,3.616,"d"
"dry2wet5_Downstream","poll",12,40.628,112.77,71.022,15.919,74.936,21.444,6.19,13.625,"abc"
"dry2wet5_Middlestream","poll",15,46.387,111.27,67.837,31.981,73.552,21.593,5.575,11.958,"ac"
"dry2wet5_Upstream","poll",9,36.881,87.103,45.967,10.387,50.533,16.804,5.601,12.917,"cd"
"other_Downstream","poll",36,51.781,115.56,96.532,13.218,93.89,15.022,2.504,5.083,"b"
"other_Middlestream","poll",42,44.725,110.73,79.259,23.33,80.475,16.426,2.535,5.119,"a"
"other_Upstream","poll",21,40.301,61.154,46.1,13.254,49.149,6.691,1.46,3.046,"d"
"wet2wet5_Downstream","poll",12,63.688,89.737,78.118,17.324,76.244,9.982,2.882,6.343,"abc"
"wet2wet5_Middlestream","poll",20,9.783,90.836,56.026,55.319,50.829,29.519,6.601,13.815,"d"
"wet2wet5_Upstream","poll",11,7.727,68.782,45.344,39.921,38.225,22.254,6.71,14.951,"d"
