"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",20,7.727,54.238,43.659,4.871,42.66,9.154,2.047,4.284,"a"
"2","poll",19,36.881,68.79,45.522,14.533,49.449,10.017,2.298,4.828,"a"
"3","poll",14,11.843,87.103,50.323,10.55,46.85,20.891,5.583,12.062,"a"
"4","poll",18,9.783,72.178,53.475,14.33,48.664,19.513,4.599,9.704,"a"
"5","poll",18,12.479,102.15,70.354,18.345,69.367,20.707,4.881,10.297,"b"
"7","poll",20,15.09,90.838,78.734,20.235,73.46,18.419,4.119,8.62,"bc"
"8","poll",20,31.226,111.27,92.566,25.742,89.019,20.248,4.528,9.476,"c"
"9","poll",20,23.095,110.05,78.586,14.455,75.056,18.355,4.104,8.59,"bc"
"10","poll",19,68.484,112.77,89.871,15.286,89.594,12.333,2.829,5.945,"c"
"11","poll",19,51.781,115.48,85.015,17.328,85.341,14.991,3.439,7.225,"bc"
"12","poll",19,40.628,115.56,90.443,33.709,85.308,20.06,4.602,9.669,"bc"
"13","poll",19,43.523,114.99,91.079,25.398,84.895,18.196,4.174,8.77,"bc"
