"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",85.2133125,4.27221019792348,213,76.7920860467369,93.6345389532631,"Emmeans test"
"dry2dry5_Middlestream",72.3931578947368,3.92044895122364,213,64.6653105072746,80.1210052821989,"Emmeans test"
"dry2dry5_Upstream",45.102333333333,4.93312341561157,213,35.3783386139365,54.8263280527296,"Emmeans test"
"dry2wet5_Downstream",74.93625,4.93312341561155,213,65.2122552806035,84.6602447193964,"Emmeans test"
"dry2wet5_Middlestream",73.5517999999998,4.41231971948137,213,64.854394717832,82.2492052821677,"Emmeans test"
"dry2wet5_Upstream",50.5329999999998,5.69628026389797,213,39.3046980623157,61.761301937684,"Emmeans test"
"other_Downstream",93.8900277777778,2.84814013194898,213,88.2758768089357,99.5041787466199,"Emmeans test"
"other_Middlestream",80.4745714285714,2.63686538112721,213,75.2768776184599,85.672265238683,"Emmeans test"
"other_Upstream",49.1489523809524,3.72909078414221,213,41.7983033016299,56.4996014602748,"Emmeans test"
"wet2wet5_Downstream",76.2438333333334,4.93312341561156,213,66.5198386139369,85.9678280527299,"Emmeans test"
"wet2wet5_Middlestream",50.8289750000001,3.82118096668988,213,43.2968010786339,58.3611489213664,"Emmeans test"
"wet2wet5_Upstream",38.2253545454545,5.15247936437895,213,28.0689733017858,48.3817357891233,"Emmeans test"
