"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,2.21097294635786,0.0281013400312422,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,6.14642036103768,3.85076583490822e-09,2.54150545103943e-07,"****"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,1.57480937922729,0.116784565996547,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,1.89874678881858,0.0589494352688642,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,4.87059075653955,2.168225289078e-06,0.000143102869079148,"***"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,-1.68986617378277,0.0925165796134649,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,0.943889196298916,0.346295682563674,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,6.35966740911723,1.21459747010173e-09,8.01634330267142e-08,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,1.37444137548548,0.170749041392986,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,5.99890239862774,8.42688335480005e-09,5.56174301416804e-07,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,7.0201827780951,2.91982723655775e-11,1.92708597612812e-09,"****"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,4.33102440025991,2.28522432459245e-05,0.00150824805423102,"**"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,-0.403585972099215,0.686922067723713,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,-0.196299717494259,0.844562741052492,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,3.1612564637542,0.00179969944426815,0.118780163321698,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,-4.43618174311783,1.46762750717871e-05,0.000968634154737946,"***"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,-1.71045343319554,0.0886380818664251,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,4.29594344240817,2.64430968787922e-05,0.00174524439400028,"**"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,-0.61109803569767,0.541786273545155,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",213,3.93894482737947,0.000110906981258174,0.00731986076303947,"**"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",213,5.27736303654203,3.21899208918518e-07,2.12453477886222e-05,"****"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",213,-4.27635049988695,2.86776221705606e-05,0.001892723063257,"**"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",213,-4.29848975525748,2.61652431949455e-05,0.00172690605086641,"**"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",213,-0.720680503648849,0.471896300582092,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",213,-8.56483392392974,2.18343689729777e-15,1.44106835221653e-13,"****"
"grop","poll","dry2dry5_Upstream","other_Middlestream",213,-6.32365727425342,1.47850724047828e-09,9.75814778715667e-08,"****"
"grop","poll","dry2dry5_Upstream","other_Upstream",213,-0.654369453932374,0.513579737613013,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",213,-4.46377760520537,1.30489640764146e-05,0.000861231629043363,"***"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",213,-0.917736567920722,0.359794792405888,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",213,0.96406902326094,0.336104565047689,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",213,0.209179462356649,0.834508062685858,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",213,3.23845074281889,0.00139405772493905,0.0920078098459773,"ns"
"grop","poll","dry2wet5_Downstream","other_Downstream",213,-3.32739558092035,0.00103258089300647,0.0681503389384268,"ns"
"grop","poll","dry2wet5_Downstream","other_Middlestream",213,-0.990111128807938,0.323243216145504,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Upstream",213,4.17000455511008,4.43240972716472e-05,0.00292539041992871,"**"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",213,-0.187427105318418,0.851504189207585,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",213,3.86336863876051,0.000148411504050499,0.00979515926733292,"**"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",213,5.14642231938833,6.01967960983808e-07,3.97298854249313e-05,"****"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",213,3.19470925022887,0.00161207683137751,0.106397070870916,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",213,-3.87268608517724,0.000143209682689531,0.00945183905750905,"**"
"grop","poll","dry2wet5_Middlestream","other_Middlestream",213,-1.34679109388433,0.179478753337582,1,"ns"
