"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,-1.22777253995202,0.220887446063315,1,"ns"
"id","poll","1","3",213,-0.696551637061794,0.486842867838817,1,"ns"
"id","poll","1","4",213,-1.07060032034515,0.285560816679634,1,"ns"
"id","poll","1","5",213,-4.76241967867158,3.53384924557849e-06,0.00023323405020818,"***"
"id","poll","1","7",213,-5.64288454322743,5.29212381394547e-08,3.49280171720401e-06,"****"
"id","poll","1","8",213,-8.49353936706189,3.45627417819625e-15,2.28114095760953e-13,"****"
"id","poll","1","9",213,-5.93528946236569,1.17664712103894e-08,7.76587099885702e-07,"****"
"id","poll","1","10",213,-8.48779876522625,3.58620699816802e-15,2.36689661879089e-13,"****"
"id","poll","1","11",213,-7.71867555774948,4.49948095600741e-13,2.96965743096489e-11,"****"
"id","poll","1","12",213,-7.71267905232642,4.66788482474008e-13,3.08080398432845e-11,"****"
"id","poll","1","13",213,-7.63811298330379,7.36204665766687e-13,4.85895079406014e-11,"****"
"id","poll","2","3",213,0.427590423433056,0.669381308078354,1,"ns"
"id","poll","2","4",213,0.13833386785403,0.890107251239754,1,"ns"
"id","poll","2","5",213,-3.50830856898575,0.000550057828166835,0.0363038166590111,"*"
"id","poll","2","7",213,-4.34229753922645,2.18011000897786e-05,0.00143887260592539,"**"
"id","poll","2","8",213,-7.1561681790862,1.31887801176628e-11,8.70459487765743e-10,"****"
"id","poll","2","9",213,-4.63092933358975,6.32983986635088e-06,0.000417769431179158,"***"
"id","poll","2","10",213,-7.16870150528518,1.22518033313215e-11,8.0861901986722e-10,"****"
"id","poll","2","11",213,-6.40925318869452,9.25432531356888e-10,6.10785470695546e-08,"****"
"id","poll","2","12",213,-6.40333211401534,9.56040485814965e-10,6.30986720637877e-08,"****"
"id","poll","2","13",213,-6.32970402030614,1.43056105559305e-09,9.44170296691415e-08,"****"
"id","poll","3","4",213,-0.294953328683061,0.768316820439828,1,"ns"
"id","poll","3","5",213,-3.66089256722623,0.000317017715536975,0.0209231692254403,"*"
"id","poll","3","7",213,-4.42428264443116,1.54365632747255e-05,0.00101881317613188,"**"
"id","poll","3","8",213,-7.01120974435116,3.07606761319506e-11,2.03020462470874e-09,"****"
"id","poll","3","9",213,-4.68963578474971,4.88672130898607e-06,0.00032252360639308,"***"
"id","poll","3","10",213,-7.03091345192129,2.74322625157971e-11,1.81052932604261e-09,"****"
"id","poll","3","11",213,-6.33136102193206,1.41769086225109e-09,9.35675969085721e-08,"****"
"id","poll","3","12",213,-6.32590692836245,1.46048770637814e-09,9.63921886209571e-08,"****"
"id","poll","3","13",213,-6.25808570768877,2.11113124850249e-09,1.39334662401164e-07,"****"
"id","poll","4","5",213,-3.59834040437923,0.000398240011102214,0.0262838407327461,"*"
"id","poll","4","7",213,-4.42178017892984,1.56012012416589e-05,0.00102967928194949,"**"
"id","poll","4","8",213,-7.19640383898397,1.04074933703452e-11,6.86894562442783e-10,"****"
"id","poll","4","9",213,-4.70638622809926,4.53693429880623e-06,0.000299437663721211,"***"
"id","poll","4","10",213,-7.20949747443367,9.63390050389084e-12,6.35837433256795e-10,"****"
"id","poll","4","11",213,-6.46038226948409,6.98191347854361e-10,4.60806289583878e-08,"****"
"id","poll","4","12",213,-6.45454175739799,7.21080811461082e-10,4.75913335564314e-08,"****"
"id","poll","4","13",213,-6.3819154531399,1.07527890634297e-09,7.09684078186358e-08,"****"
"id","poll","5","7",213,-0.729960820603407,0.466216166642283,1,"ns"
"id","poll","5","8",213,-3.50458448065754,0.00055737965958382,0.0367870575325321,"*"
"id","poll","5","9",213,-1.01456686977282,0.311463410262204,1,"ns"
"id","poll","5","10",213,-3.56285503759389,0.000452643067053017,0.0298744424254991,"*"
"id","poll","5","11",213,-2.81373983264431,0.00535530704024111,0.353450264655913,"ns"
"id","poll","5","12",213,-2.80789932055821,0.00544980285713484,0.359686988570899,"ns"
"id","poll","5","13",213,-2.73527301630011,0.00675823337849901,0.446043402980935,"ns"
"id","poll","7","8",213,-2.85065482383446,0.00479172991375927,0.316254174308112,"ns"
"id","poll","7","9",213,-0.292404919138274,0.770261674125057,1,"ns"
"id","poll","7","10",213,-2.9177286860478,0.00390405807916654,0.257667833224991,"ns"
"id","poll","7","11",213,-2.14860547857102,0.0327940445739551,1,"ns"
"id","poll","7","12",213,-2.14260897314797,0.0332789664710503,1,"ns"
"id","poll","7","13",213,-2.06804290412534,0.0398439068995425,1,"ns"
"id","poll","8","9",213,2.55824990469618,0.0112143233379861,0.74014534030708,"ns"
"id","poll","8","10",213,-0.103858046188048,0.917379724890994,1,"ns"
"id","poll","8","11",213,0.665265161288736,0.506600617485846,1,"ns"
"id","poll","8","12",213,0.671261666711778,0.502781155629227,1,"ns"
"id","poll","8","13",213,0.745827735734414,0.456593771263921,1,"ns"
"id","poll","9","10",213,-2.62909689168449,0.00918519742130878,0.606223029806379,"ns"
"id","poll","9","11",213,-1.85997368420771,0.0642678728023229,1,"ns"
"id","poll","9","12",213,-1.85397717878467,0.0651249858878836,1,"ns"
"id","poll","9","13",213,-1.77941110976203,0.0765982996273243,1,"ns"
"id","poll","10","11",213,0.759448316590663,0.448424092615571,1,"ns"
"id","poll","10","12",213,0.765369391269837,0.444898840698604,1,"ns"
"id","poll","10","13",213,0.838997484979041,0.402411330027735,1,"ns"
"id","poll","11","12",213,0.00592107467917486,0.995281235352079,1,"ns"
"id","poll","11","13",213,0.0795491683883776,0.93667051160553,1,"ns"
"id","poll","12","13",213,0.0736280937092027,0.941375412983808,1,"ns"
