"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",16,0.023,0.459,0.106,0.102,0.139,0.102,0.025,0.054,"ab"
"dry2dry5_Middlestream","poll",19,0.012,0.267,0.063,0.067,0.07,0.059,0.014,0.028,"a"
"dry2dry5_Upstream","poll",12,0.005,0.047,0.015,0.017,0.02,0.016,0.005,0.01,"a"
"dry2wet5_Downstream","poll",12,0.06,4.085,0.146,0.165,0.486,1.137,0.328,0.722,"b"
"dry2wet5_Middlestream","poll",15,0.01,0.224,0.048,0.056,0.069,0.064,0.017,0.036,"a"
"dry2wet5_Upstream","poll",9,0.002,0.031,0.021,0.017,0.016,0.011,0.004,0.009,"a"
"other_Downstream","poll",36,0.005,1.443,0.146,0.17,0.251,0.313,0.052,0.106,"ab"
"other_Middlestream","poll",42,0.001,0.457,0.036,0.09,0.078,0.098,0.015,0.031,"a"
"other_Upstream","poll",21,0.001,0.112,0.006,0.01,0.018,0.027,0.006,0.012,"a"
"wet2wet5_Downstream","poll",12,0.043,0.627,0.195,0.27,0.263,0.189,0.055,0.12,"ab"
"wet2wet5_Middlestream","poll",20,0.003,0.467,0.032,0.076,0.079,0.116,0.026,0.054,"a"
"wet2wet5_Upstream","poll",11,0,0.047,0.005,0.007,0.009,0.013,0.004,0.009,"a"
