"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",20,0.002,0.067,0.008,0.014,0.014,0.016,0.004,0.008,"a"
"2","poll",19,0.003,0.112,0.02,0.025,0.025,0.025,0.006,0.012,"a"
"3","poll",14,0,0.047,0.005,0.005,0.008,0.012,0.003,0.007,"a"
"4","poll",18,0.003,0.457,0.027,0.046,0.088,0.128,0.03,0.064,"a"
"5","poll",18,0.003,0.073,0.016,0.024,0.022,0.018,0.004,0.009,"a"
"7","poll",20,0.003,0.192,0.026,0.051,0.053,0.051,0.012,0.024,"a"
"8","poll",20,0.001,0.467,0.043,0.06,0.073,0.099,0.022,0.046,"a"
"9","poll",20,0.027,0.283,0.112,0.101,0.136,0.078,0.017,0.036,"a"
"10","poll",19,0.011,0.459,0.109,0.085,0.16,0.12,0.028,0.058,"ab"
"11","poll",19,0.005,4.085,0.096,0.244,0.485,0.97,0.223,0.468,"b"
"12","poll",19,0.023,0.627,0.203,0.172,0.221,0.142,0.033,0.068,"ab"
"13","poll",19,0.045,0.532,0.196,0.122,0.199,0.11,0.025,0.053,"ab"
