"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",0.1385625,0.0746208903336837,213,-0.00852750412702014,0.285652504127021,"Emmeans test"
"dry2dry5_Middlestream",0.0703899999999998,0.0684768252719069,213,-0.0645890449672974,0.205369044967297,"Emmeans test"
"dry2dry5_Upstream",0.0195716666666658,0.0861647822426437,213,-0.150273240289011,0.189416573622343,"Emmeans test"
"dry2wet5_Downstream",0.486476666666666,0.0861647822426435,213,0.316631759710989,0.656321573622342,"Emmeans test"
"dry2wet5_Middlestream",0.0686906666666662,0.0770681241444073,213,-0.0832232363673422,0.220604569700675,"Emmeans test"
"dry2wet5_Upstream",0.0161977777777776,0.0994945204449116,213,-0.179922227724917,0.212317783280472,"Emmeans test"
"other_Downstream",0.250839722222223,0.0497472602224558,213,0.152779719470876,0.348899724973569,"Emmeans test"
"other_Middlestream",0.0783245238095239,0.046057013422565,213,-0.0124613977214248,0.169110445340472,"Emmeans test"
"other_Upstream",0.018205714285714,0.0651344530245912,213,-0.110184967215893,0.146596395787321,"Emmeans test"
"wet2wet5_Downstream",0.2629775,0.0861647822426436,213,0.0931325930443233,0.432822406955677,"Emmeans test"
"wet2wet5_Middlestream",0.0788355000000008,0.0667429533310693,213,-0.0527257992154959,0.210396799215497,"Emmeans test"
"wet2wet5_Upstream",0.00910090909090944,0.0899961799123951,213,-0.168296310582237,0.186498128764056,"Emmeans test"
