"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,0.673118570572725,0.501601520298823,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,1.04391391571357,0.297708530544528,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,-3.05227243042995,0.00256018850390719,0.168972441257874,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,0.65133811771432,0.515530348564365,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,0.983891146366992,0.326285307668703,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,-1.2519322053072,0.211967583563863,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,0.686942829200918,0.49286596939753,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,1.21511935806301,0.225665781713913,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,-1.09150046423886,0.276285835292175,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,0.596587325144095,0.551416474634513,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,1.10737566022379,0.269380515443055,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,0.461728387647626,0.644747323082443,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,-3.7805062291497,0.0002032396765733,0.0134138186538378,"*"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,0.016483184889766,0.986864346005469,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,0.448678833286047,0.654119471213233,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,-2.13197695577743,0.0341539483698877,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,-0.096147274565948,0.923494005501846,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,0.552173776685551,0.581408210403154,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,-1.74982353854094,0.0815888321909744,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",213,-0.0883210946869335,0.929704456093604,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",213,0.541970037472953,0.588405656859463,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",213,-3.83163147491262,0.000167506819647307,0.0110554500967223,"*"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",213,-0.424896808681136,0.671340808131563,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",213,0.0256337762155733,0.979573444720137,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",213,-2.32443007435375,0.0210445132688923,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Middlestream",213,-0.601349510278133,0.548246673594823,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",213,0.0126461532993758,0.989921935345703,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",213,-1.99749724714307,0.047043551564957,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",213,-0.543750855419667,0.587181601470247,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",213,0.0840389726167542,0.933104376461463,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",213,3.61399739635692,0.000376246964173416,0.0248322996354454,"*"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",213,3.57303521061082,0.000436360534278192,0.0287997952623607,"*"
"grop","poll","dry2wet5_Downstream","other_Downstream",213,2.36834092360807,0.0187626359295763,1,"ns"
"grop","poll","dry2wet5_Downstream","other_Middlestream",213,4.17753456022264,4.29901818703245e-05,0.00283735200344142,"**"
"grop","poll","dry2wet5_Downstream","other_Upstream",213,4.33530943833321,2.24470942470158e-05,0.00148150822030304,"**"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",213,1.83413422776954,0.0680291979150444,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",213,3.74014336589654,0.000236425246548665,0.0156040662722119,"*"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",213,3.8314484819799,0.000167623387066718,0.0110631435464034,"*"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",213,0.417101085338019,0.67702454582809,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",213,-1.98572131591813,0.0483468135833921,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Middlestream",213,-0.107303189472662,0.914649455470977,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Upstream",213,0.500317345444614,0.617368170396899,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Downstream",213,-1.68065016494832,0.0942967286043111,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Middlestream",213,-0.0995064205122086,0.920829778843738,1,"ns"
"grop","poll","dry2wet5_Middlestream","wet2wet5_Upstream",213,0.502928791788882,0.615533967433152,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Downstream",213,-2.10936375512664,0.0360809834849246,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Middlestream",213,-0.566655360534722,0.571544966126672,1,"ns"
"grop","poll","dry2wet5_Upstream","other_Upstream",213,-0.0168849521008441,0.986544202948937,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Downstream",213,-1.87495687686097,0.062167164854226,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Middlestream",213,-0.522820721747178,0.601642417656964,1,"ns"
"grop","poll","dry2wet5_Upstream","wet2wet5_Upstream",213,0.0528991813652787,0.957861815739795,1,"ns"
"grop","poll","other_Downstream","other_Middlestream",213,2.54469383949974,0.0116454313375927,0.768598468281117,"ns"
"grop","poll","other_Downstream","other_Upstream",213,2.83841736491713,0.00497226946551045,0.32816978472369,"ns"
"grop","poll","other_Downstream","wet2wet5_Downstream",213,-0.121994434703548,0.903018443742454,1,"ns"
"grop","poll","other_Downstream","wet2wet5_Middlestream",213,2.0662883383627,0.0400108483390046,1,"ns"
"grop","poll","other_Downstream","wet2wet5_Upstream",213,2.35084844421848,0.0196441440734744,1,"ns"
"grop","poll","other_Middlestream","other_Upstream",213,0.753622701139495,0.451908047367305,1,"ns"
"grop","poll","other_Middlestream","wet2wet5_Downstream",213,-1.88996726633304,0.0601203256426557,1,"ns"
"grop","poll","other_Middlestream","wet2wet5_Middlestream",213,-0.0063012113212197,0.994978291661547,1,"ns"
"grop","poll","other_Middlestream","wet2wet5_Upstream",213,0.684726141508536,0.494261145685412,1,"ns"
"grop","poll","other_Upstream","wet2wet5_Downstream",213,-2.26612696655489,0.0244485296634122,1,"ns"
"grop","poll","other_Upstream","wet2wet5_Middlestream",213,-0.650127193866018,0.516310637607445,1,"ns"
"grop","poll","other_Upstream","wet2wet5_Upstream",213,0.0819560919620184,0.934758590870016,1,"ns"
"grop","poll","wet2wet5_Downstream","wet2wet5_Middlestream",213,1.68951895932064,0.0925831508298105,1,"ns"
"grop","poll","wet2wet5_Downstream","wet2wet5_Upstream",213,2.03762981972227,0.0428233536048366,1,"ns"
"grop","poll","wet2wet5_Middlestream","wet2wet5_Upstream",213,0.622383876358024,0.53435517731427,1,"ns"
