"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,-0.112446045703796,0.910575647920208,1,"ns"
"id","poll","1","3",213,0.0639171931097871,0.949096105987994,1,"ns"
"id","poll","1","4",213,-0.773787133924773,0.439914641724295,1,"ns"
"id","poll","1","5",213,-0.0861376368758624,0.93143792100161,1,"ns"
"id","poll","1","7",213,-0.412853592042158,0.680129164606465,1,"ns"
"id","poll","1","8",213,-0.635343716148221,0.525886222598895,1,"ns"
"id","poll","1","9",213,-1.31044947539024,0.191455125346639,1,"ns"
"id","poll","1","10",213,-1.55078933675022,0.122436709058279,1,"ns"
"id","poll","1","11",213,-4.99419632922188,1.22871629744666e-06,8.10952756314797e-05,"****"
"id","poll","1","12",213,-2.18853752906367,0.0297176309114616,1,"ns"
"id","poll","1","13",213,-1.96380232184664,0.0508540127335369,1,"ns"
"id","poll","2","3",213,0.165510426848896,0.868699226672784,1,"ns"
"id","poll","2","4",213,-0.654797404260003,0.513304671157303,1,"ns"
"id","poll","2","5",213,0.0244373020520723,0.980526672927072,1,"ns"
"id","poll","2","7",213,-0.295080180023324,0.768220050348353,1,"ns"
"id","poll","2","8",213,-0.514699343538422,0.607296797460667,1,"ns"
"id","poll","2","9",213,-1.1810936957582,0.238882613389671,1,"ns"
"id","poll","2","10",213,-1.42025020236781,0.156996922923561,1,"ns"
"id","poll","2","11",213,-4.82034217508085,2.72323415044826e-06,0.000179733453929585,"***"
"id","poll","2","12",213,-2.04997608549403,0.041591711880664,1,"ns"
"id","poll","2","13",213,-1.8280678487636,0.0689381922744969,1,"ns"
"id","poll","3","4",213,-0.767987635522418,0.443345096406617,1,"ns"
"id","poll","3","5",213,-0.14103756028075,0.887973563867793,1,"ns"
"id","poll","3","7",213,-0.438575723010845,0.661413499206402,1,"ns"
"id","poll","3","8",213,-0.64048222066963,0.522547562073055,1,"ns"
"id","poll","3","9",213,-1.2531307143747,0.211532013123487,1,"ns"
"id","poll","3","10",213,-1.47374886592969,0.142025553909209,1,"ns"
"id","poll","3","11",213,-4.60568365298159,7.0696051054308e-06,0.000466593936958433,"***"
"id","poll","3","12",213,-2.05380976295779,0.0412154697443107,1,"ns"
"id","poll","3","13",213,-1.84940290228255,0.0657851777288166,1,"ns"
"id","poll","4","5",213,0.670237822904705,0.503432203914789,1,"ns"
"id","poll","4","7",213,0.37194495540466,0.710303597325544,1,"ns"
"id","poll","4","8",213,0.155388970684389,0.876661834847568,1,"ns"
"id","poll","4","9",213,-0.50171072338243,0.61638920273977,1,"ns"
"id","poll","4","10",213,-0.746128765676979,0.456412306564385,1,"ns"
"id","poll","4","11",213,-4.09995882803156,5.87779021575291e-05,0.00387934154239692,"**"
"id","poll","4","12",213,-1.36728655047251,0.172976627666462,1,"ns"
"id","poll","4","13",213,-1.14839761411331,0.252092517061987,1,"ns"
"id","poll","5","7",213,-0.315704541644251,0.7525358966667,1,"ns"
"id","poll","5","8",213,-0.532260526364521,0.59510033239436,1,"ns"
"id","poll","5","9",213,-1.18936022043134,0.23562208874726,1,"ns"
"id","poll","5","10",213,-1.42536347198905,0.155515896217305,1,"ns"
"id","poll","5","11",213,-4.77919353434363,3.27778320401725e-06,0.000216333691465138,"***"
"id","poll","5","12",213,-2.04652125678458,0.0419332781529878,1,"ns"
"id","poll","5","13",213,-1.82763232042538,0.0690038372501058,1,"ns"
"id","poll","7","8",213,-0.222490124106063,0.82414555664777,1,"ns"
"id","poll","7","9",213,-0.897595883348085,0.370414477704822,1,"ns"
"id","poll","7","10",213,-1.1432631110231,0.254212688952135,1,"ns"
"id","poll","7","11",213,-4.58667010349476,7.68102484513217e-06,0.000506947639778723,"***"
"id","poll","7","12",213,-1.78101130333655,0.0763357009044208,1,"ns"
"id","poll","7","13",213,-1.55627609611953,0.121127013864826,1,"ns"
"id","poll","8","9",213,-0.675105759242023,0.500340755403736,1,"ns"
"id","poll","8","10",213,-0.923643947508007,0.356716863156488,1,"ns"
"id","poll","8","11",213,-4.36705093997966,1.96532061427712e-05,0.0012971116054229,"**"
"id","poll","8","12",213,-1.56139213982145,0.119915776639743,1,"ns"
"id","poll","8","13",213,-1.33665693260443,0.182760622412097,1,"ns"
"id","poll","9","10",213,-0.257249595288226,0.797234439486098,1,"ns"
"id","poll","9","11",213,-3.70065658775988,0.000273796745091421,0.0180705851760338,"*"
"id","poll","9","12",213,-0.89499778760167,0.371798526317535,1,"ns"
"id","poll","9","13",213,-0.670262580384647,0.503416455683757,1,"ns"
"id","poll","10","11",213,-3.40009197271303,0.000804194443404805,0.0530768332647171,"ns"
"id","poll","10","12",213,-0.629725883126212,0.529548844872627,1,"ns"
"id","poll","10","13",213,-0.407817646395787,0.683817170457297,1,"ns"
"id","poll","11","12",213,2.77036608958682,0.00609410809489995,0.402211134263397,"ns"
"id","poll","11","13",213,2.99227432631724,0.00309579070747561,0.20432218669339,"ns"
"id","poll","12","13",213,0.221908236730425,0.824597932146336,1,"ns"
