"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",16,0,0.009,0.004,0.002,0.004,0.002,0.001,0.001,"a"
"dry2dry5_Middlestream","poll",19,0,0.005,0.003,0.002,0.003,0.002,0,0.001,"ab"
"dry2dry5_Upstream","poll",12,0,0.004,0.003,0.003,0.002,0.002,0,0.001,"abc"
"dry2wet5_Downstream","poll",12,0,0.004,0.002,0.002,0.001,0.001,0,0.001,"bc"
"dry2wet5_Middlestream","poll",15,0,0.004,0,0.002,0.001,0.001,0,0.001,"bc"
"dry2wet5_Upstream","poll",9,0,0,0,0,0,0,0,0,"c"
"other_Downstream","poll",36,0,0.005,0.002,0.001,0.002,0.001,0,0,"abc"
"other_Middlestream","poll",42,0,0.011,0.002,0.003,0.002,0.002,0,0.001,"ab"
"other_Upstream","poll",21,0,0.003,0,0.002,0.001,0.001,0,0,"c"
"wet2wet5_Downstream","poll",12,0,0.005,0.003,0.003,0.003,0.002,0,0.001,"ab"
"wet2wet5_Middlestream","poll",20,0,0.005,0.003,0.002,0.003,0.002,0,0.001,"ab"
"wet2wet5_Upstream","poll",11,0,0.008,0,0.003,0.002,0.003,0.001,0.002,"abc"
