"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",20,0,0.008,0,0.002,0.001,0.002,0,0.001,"ab"
"2","poll",19,0,0.005,0,0.001,0.001,0.002,0,0.001,"a"
"3","poll",14,0,0.005,0,0.003,0.001,0.002,0,0.001,"ab"
"4","poll",18,0,0.011,0.003,0.003,0.003,0.003,0.001,0.001,"ab"
"5","poll",18,0,0.008,0.002,0.003,0.002,0.002,0.001,0.001,"ab"
"7","poll",20,0,0.006,0.001,0.002,0.002,0.002,0,0.001,"ab"
"8","poll",20,0,0.005,0.002,0.003,0.002,0.002,0,0.001,"ab"
"9","poll",20,0.002,0.005,0.003,0.002,0.003,0.001,0,0.001,"b"
"10","poll",19,0,0.005,0.002,0.001,0.003,0.002,0,0.001,"ab"
"11","poll",19,0,0.005,0.003,0.002,0.003,0.001,0,0.001,"ab"
"12","poll",19,0,0.009,0.002,0.003,0.002,0.002,0.001,0.001,"ab"
"13","poll",19,0,0.008,0.002,0.001,0.002,0.002,0,0.001,"ab"
