"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",0.00398312500000001,0.000453237660498615,213,0.00308971929209238,0.00487653070790764,"Emmeans test"
"dry2dry5_Middlestream",0.00265,0.000415919402004264,213,0.00183015469550489,0.00346984530449511,"Emmeans test"
"dry2dry5_Upstream",0.00215666666666665,0.000523353770591503,213,0.00112505061475461,0.00318828271857869,"Emmeans test"
"dry2wet5_Downstream",0.00138416666666667,0.000523353770591501,213,0.000352550614754636,0.00241578271857871,"Emmeans test"
"dry2wet5_Middlestream",0.000906666666666647,0.000468101842929373,213,-1.60387808354605e-05,0.00182937211416875,"Emmeans test"
"dry2wet5_Upstream",-9.54097911787244e-18,0.000604316880664819,213,-0.00119120761054352,0.0011912076105435,"Emmeans test"
"other_Downstream",0.00218666666666667,0.000302158440332409,213,0.00159106286139492,0.00278227047193842,"Emmeans test"
"other_Middlestream",0.00247190476190476,0.00027974435737567,213,0.00192048278748316,0.00302332673632637,"Emmeans test"
"other_Upstream",0.000642857142857141,0.000395618264198019,213,-0.000136971291960444,0.00142268557767473,"Emmeans test"
"wet2wet5_Downstream",0.00327333333333334,0.000523353770591502,213,0.0022417172814213,0.00430494938524538,"Emmeans test"
"wet2wet5_Middlestream",0.00270600000000001,0.000405388087535148,213,0.0019069136422529,0.00350508635774712,"Emmeans test"
"wet2wet5_Upstream",0.00186272727272727,0.000546625185720868,213,0.000785239447748558,0.00294021509770598,"Emmeans test"
