"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,2.1671434617487,0.0313332689718462,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,2.63812510857205,0.00895186697451382,0.590823220317912,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,3.75391932581684,0.000224561950030549,0.0148210887020162,"*"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,4.72160694496128,4.24013403937385e-06,0.000279848846598674,"***"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,5.27289589609757,3.28907839230653e-07,2.17079173892231e-05,"****"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,3.29792472093181,0.00114134845358659,0.0753289979367146,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,2.83734679178148,0.00498835469808795,0.329231410073805,"ns"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,5.55218707261771,8.34804801639606e-08,5.5097116908214e-06,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,1.02521868882228,0.306422910547801,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,2.10025082839379,0.0368835522958031,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,2.98610999665897,0.00315628606271446,0.208314880139155,"ns"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,0.737973992463733,0.461342515468264,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,1.8935515110682,0.0596399840530501,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,2.7840525285998,0.00585156108041907,0.386203031307659,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,3.61225942567661,0.000378630615209342,0.0249896206038166,"*"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,0.901268663407336,0.368463432378031,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,0.355306256670347,0.722711760506463,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,3.49662256510723,0.000573341096794406,0.0378405123884308,"*"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,-0.932440112099424,0.352164848472905,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",213,-0.0964187598678106,0.923278650880514,1,"ns"
