"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",213,0.67000649360289,0.503579365125562,1,"ns"
"id","poll","1","3",213,0.0865041645485857,0.931146908599198,1,"ns"
"id","poll","1","4",213,-2.07032139395662,0.0396280043340032,1,"ns"
"id","poll","1","5",213,-1.40112839530906,0.162630964488275,1,"ns"
"id","poll","1","7",213,-0.420735764556671,0.674372229440081,1,"ns"
"id","poll","1","8",213,-1.02554342610688,0.30627010296562,1,"ns"
"id","poll","1","9",213,-3.37739061001548,0.000869875738279572,0.0574117987264517,"ns"
"id","poll","1","10",213,-2.16900407251106,0.03118980737763,1,"ns"
"id","poll","1","11",213,-2.61129203438987,0.00966143887006839,0.637654965424514,"ns"
"id","poll","1","12",213,-1.93846787616497,0.0538876496798084,1,"ns"
"id","poll","1","13",213,-1.82576129128465,0.069286436549617,1,"ns"
"id","poll","2","3",213,-0.52381950619625,0.600948684473467,1,"ns"
"id","poll","2","4",213,-2.69756371659673,0.00754429181015069,0.497923259469946,"ns"
"id","poll","2","5",213,-2.03655965587517,0.0429315588878003,1,"ns"
"id","poll","2","7",213,-1.08531318213156,0.279009788967564,1,"ns"
"id","poll","2","8",213,-1.68231654689152,0.0939728207017197,1,"ns"
"id","poll","2","9",213,-4.0038160440967,8.60750904748645e-05,0.00568095597134106,"**"
"id","poll","2","10",213,-2.80329831977334,0.00552530879646009,0.364670380566366,"ns"
"id","poll","2","11",213,-3.24002268959065,0.00138675780721847,0.0915260152764192,"ns"
"id","poll","2","12",213,-2.57566206523535,0.0106815505418446,0.704982335761744,"ns"
"id","poll","2","13",213,-2.46437322968344,0.0145169968442341,0.958121791719453,"ns"
"id","poll","3","4",213,-1.97216303960097,0.0498850270294845,1,"ns"
"id","poll","3","5",213,-1.36204029152392,0.174623853417911,1,"ns"
"id","poll","3","7",213,-0.468315649452665,0.64003775581588,1,"ns"
"id","poll","3","8",213,-1.01716965900228,0.310226701337153,1,"ns"
"id","poll","3","9",213,-3.15143620157159,0.00185849920226805,0.122660947349691,"ns"
"id","poll","3","10",213,-2.05838932716558,0.0407698345204448,1,"ns"
"id","poll","3","11",213,-2.46067028225774,0.0146633814380716,0.967783174912725,"ns"
"id","poll","3","12",213,-1.848706203855,0.0658862159890145,1,"ns"
"id","poll","3","13",213,-1.74619445468093,0.082218842764103,1,"ns"
"id","poll","4","5",213,0.652248653480374,0.514944028351758,1,"ns"
"id","poll","4","7",213,1.66080727207509,0.0982234264552756,1,"ns"
"id","poll","4","8",213,1.0721307218704,0.284874552968243,1,"ns"
"id","poll","4","9",213,-1.2169892328658,0.224955001490756,1,"ns"
"id","poll","4","10",213,-0.0675927127165465,0.946173262594039,1,"ns"
"id","poll","4","11",213,-0.498374977493768,0.618733993552094,1,"ns"
"id","poll","4","12",213,0.156946305603628,0.875435830841533,1,"ns"
"id","poll","4","13",213,0.266720936782384,0.789942071641639,1,"ns"
"id","poll","5","7",213,0.991614273427536,0.322510855109029,1,"ns"
"id","poll","5","8",213,0.402937723222843,0.687398177757936,1,"ns"
"id","poll","5","9",213,-1.88618223151336,0.0606310785481912,1,"ns"
"id","poll","5","10",213,-0.728596773438107,0.46704864487522,1,"ns"
"id","poll","5","11",213,-1.15937903821533,0.247599749084073,1,"ns"
"id","poll","5","12",213,-0.504057755117932,0.614741764263031,1,"ns"
"id","poll","5","13",213,-0.394283123939177,0.693766492302516,1,"ns"
"id","poll","7","8",213,-0.604807661550214,0.545950557791889,1,"ns"
"id","poll","7","9",213,-2.9566548454588,0.00346061275012225,0.228400441508069,"ns"
"id","poll","7","10",213,-1.7536973839824,0.0809206891930036,1,"ns"
"id","poll","7","11",213,-2.1959853458612,0.0291723684332663,1,"ns"
"id","poll","7","12",213,-1.5231611876363,0.129201652430035,1,"ns"
"id","poll","7","13",213,-1.41045460275599,0.159864195491324,1,"ns"
"id","poll","8","9",213,-2.35184718390859,0.0195928504175419,1,"ns"
"id","poll","8","10",213,-1.15669401922244,0.248693007281224,1,"ns"
"id","poll","8","11",213,-1.59898198110124,0.111306889937185,1,"ns"
"id","poll","8","12",213,-0.926157822876343,0.355412138321422,1,"ns"
"id","poll","8","13",213,-0.813451237996026,0.416867762457498,1,"ns"
"id","poll","9","10",213,1.16480547798275,0.245400621156037,1,"ns"
"id","poll","9","11",213,0.722517516103946,0.470768894162869,1,"ns"
"id","poll","9","12",213,1.39534167432884,0.164365885754857,1,"ns"
"id","poll","9","13",213,1.50804825920916,0.133023961081069,1,"ns"
"id","poll","10","11",213,-0.436724369817315,0.662753642428345,1,"ns"
"id","poll","10","12",213,0.227636254537984,0.820147388265316,1,"ns"
"id","poll","10","13",213,0.338925090089891,0.735000053394575,1,"ns"
"id","poll","11","12",213,0.664360624355299,0.507178090955211,1,"ns"
"id","poll","11","13",213,0.775649459907207,0.438816321441586,1,"ns"
"id","poll","12","13",213,0.111288835551907,0.911492105590043,1,"ns"
