"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",32,0.005,13.686,1.33,4.744,3.332,4.185,0.74,1.509,"ab"
"dry2dry5_Middlestream","poll",39,0,4.438,0.186,0.464,0.588,1.006,0.161,0.326,"cd"
"dry2dry5_Upstream","poll",21,0.003,14.615,0.1,0.191,2.004,4.419,0.964,2.012,"acd"
"dry2wet5_Downstream","poll",12,0.095,16.905,1.769,8.355,5.43,6.364,1.837,4.043,"b"
"dry2wet5_Middlestream","poll",16,0.013,0.709,0.164,0.386,0.28,0.264,0.066,0.14,"cd"
"dry2wet5_Upstream","poll",9,0.003,0.539,0.064,0.246,0.154,0.182,0.061,0.14,"acd"
"other_Downstream","poll",52,0,15.246,0.481,3.095,2.3,3.438,0.477,0.957,"ac"
"other_Middlestream","poll",61,0,2.628,0.051,0.109,0.137,0.368,0.047,0.094,"d"
"other_Upstream","poll",32,0,0.267,0.039,0.088,0.061,0.07,0.012,0.025,"d"
"wet2wet5_Downstream","poll",24,0.009,14.727,2.338,4.42,3.613,4.108,0.839,1.735,"ab"
"wet2wet5_Middlestream","poll",35,0.008,11.057,0.082,0.446,0.622,1.885,0.319,0.648,"cd"
"wet2wet5_Upstream","poll",20,0,0.478,0.072,0.124,0.106,0.121,0.027,0.057,"cd"
