"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",31,0,13.554,0.064,0.142,0.565,2.419,0.435,0.887,"a"
"2","poll",30,0,14.615,0.054,0.126,0.559,2.656,0.485,0.992,"a"
"3","poll",21,0,7.798,0.057,0.117,0.632,1.849,0.403,0.842,"a"
"4","poll",28,0.004,3.445,0.072,0.414,0.505,0.958,0.181,0.371,"a"
"5","poll",29,0.002,1.348,0.045,0.105,0.141,0.271,0.05,0.103,"a"
"7","poll",31,0,4.438,0.087,0.183,0.285,0.785,0.141,0.288,"a"
"8","poll",32,0,2.06,0.068,0.157,0.254,0.483,0.085,0.174,"a"
"9","poll",31,0,11.057,0.18,0.557,0.72,1.974,0.355,0.724,"a"
"10","poll",31,0,2.813,0.143,0.646,0.593,0.892,0.16,0.327,"a"
"11","poll",30,0.035,9.734,1.011,3.565,2.414,2.841,0.519,1.061,"ab"
"12","poll",29,0.005,16.905,3.086,7.419,5.195,5.34,0.992,2.031,"c"
"13","poll",30,0.012,16.419,2.702,6.698,4.554,4.661,0.851,1.741,"bc"
