"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",3.331952544375,0.482383029490997,341,2.38313159404758,4.28077349470243,"Emmeans test"
"dry2dry5_Middlestream",0.587729207492864,0.436952980763002,341,-0.271733329763931,1.44719174474966,"Emmeans test"
"dry2dry5_Upstream",2.00383168074074,0.595466539322588,341,0.832581671542841,3.17508168993864,"Emmeans test"
"dry2wet5_Downstream",5.43034558888892,0.78772818855392,341,3.88092746517903,6.9797637125988,"Emmeans test"
"dry2wet5_Middlestream",0.279777132152783,0.682192622564787,341,-1.06205832406399,1.62161258836955,"Emmeans test"
"dry2wet5_Upstream",0.154258722592596,0.909590163419717,341,-1.63485521902976,1.94337266421496,"Emmeans test"
"other_Downstream",2.2998069806624,0.378412381600092,341,1.55549058979698,3.04412337152781,"Emmeans test"
"other_Middlestream",0.136577170091075,0.349383259625741,341,-0.550640530698243,0.823794870880392,"Emmeans test"
"other_Upstream",0.060888511979162,0.482383029490997,341,-0.887932438348261,1.00970946230659,"Emmeans test"
"wet2wet5_Downstream",3.61259481527778,0.557007943858268,341,2.51699075310919,4.70819887744637,"Emmeans test"
"wet2wet5_Middlestream",0.622411961999993,0.461246398004029,341,-0.284834393973754,1.52965831797374,"Emmeans test"
"wet2wet5_Upstream",0.1058705025,0.610171631121488,341,-1.09430361538805,1.30604462038806,"Emmeans test"
