"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",341,4.21629084812361,3.18524899661412e-05,0.00210226433776532,"**"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",341,1.73307473473446,0.0839864002707135,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",341,-2.27174249588441,0.0237245800622261,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",341,3.65306030297102,0.00029986647913072,0.0197911876226275,"*"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",341,3.08637971034097,0.00219200093601593,0.144672061777052,"ns"
"grop","poll","dry2dry5_Downstream","other_Downstream",341,1.68349161785808,0.0931951396629254,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",341,5.36479716344705,1.49910223905095e-07,9.89407477773629e-06,"****"
"grop","poll","dry2dry5_Downstream","other_Upstream",341,4.7949273038132,2.43508489256725e-06,0.000160715602909439,"***"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",341,-0.38086641023874,0.70353954136007,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",341,4.05975906513144,6.0971504348003e-05,0.0040241192869682,"**"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",341,4.14759854061622,4.24576106674581e-05,0.00280220230405223,"**"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",341,-1.91731732740442,0.0560328827037726,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",341,-5.37589645834279,1.41640898711714e-07,9.34829931497316e-06,"****"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",341,0.380125562209477,0.704088863767981,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",341,0.4295616098772,0.667785861965553,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",341,-2.96189568111822,0.00327202799566869,0.215953847714134,"ns"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",341,0.806404855677853,0.420571479117127,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",341,0.809450737139078,0.418820372681048,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",341,-4.27274253308724,2.50800381506106e-05,0.0016552825179403,"**"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",341,-0.0545879817728598,0.956498681069954,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",341,0.642057605536687,0.521267164659152,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",341,-3.46999452508438,0.000587281243842001,0.0387605620935721,"*"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",341,1.9039378579995,0.0577598107072016,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",341,1.70127583001013,0.0898027710156109,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",341,-0.419506166032976,0.675110409023565,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Middlestream",341,2.70460686507961,0.00718167269121969,0.473990397620499,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",341,2.53536090653033,0.0116793720002873,0.77083855201896,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Downstream",341,-1.97303190082647,0.0492991975054806,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Middlestream",341,1.83403786250506,0.0675196424871511,1,"ns"
"grop","poll","dry2dry5_Upstream","wet2wet5_Upstream",341,2.22614286368781,0.0266576733824752,1,"ns"
"grop","poll","dry2wet5_Downstream","dry2wet5_Middlestream",341,4.94264879874862,1.21079557671853e-06,7.99125080634232e-05,"****"
"grop","poll","dry2wet5_Downstream","dry2wet5_Upstream",341,4.38477343350602,1.54879526934242e-05,0.001022204877766,"**"
"grop","poll","dry2wet5_Downstream","other_Downstream",341,3.58223738714404,0.000390217525942583,0.0257543567122105,"*"
"grop","poll","dry2wet5_Downstream","other_Middlestream",341,6.14316300730204,2.25424926800594e-09,1.48780451688392e-07,"****"
"grop","poll","dry2wet5_Downstream","other_Upstream",341,5.81303100166768,1.41021953300707e-08,9.30744891784668e-07,"****"
"grop","poll","dry2wet5_Downstream","wet2wet5_Downstream",341,1.8841363216376,0.0603970307074448,1,"ns"
"grop","poll","dry2wet5_Downstream","wet2wet5_Middlestream",341,5.26704671225566,2.46107857110294e-07,1.62431185692794e-05,"****"
"grop","poll","dry2wet5_Downstream","wet2wet5_Upstream",341,5.34367973066966,1.66957375509708e-07,1.10191867836407e-05,"****"
"grop","poll","dry2wet5_Middlestream","dry2wet5_Upstream",341,0.110395573398274,0.912160606333331,1,"ns"
"grop","poll","dry2wet5_Middlestream","other_Downstream",341,-2.58939308396144,0.0100265324109508,0.661751139122753,"ns"
