"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",341,0.00922864843680996,0.992642105042537,1,"ns"
"id","poll","1","3",341,-0.0913981746255718,0.927229878386426,1,"ns"
"id","poll","1","4",341,0.0883460233960376,0.929653520696338,1,"ns"
"id","poll","1","5",341,0.631117220169953,0.528386670123475,1,"ns"
"id","poll","1","7",341,0.42355394664482,0.672158173887838,1,"ns"
"id","poll","1","8",341,0.474764095592814,0.63525903594673,1,"ns"
"id","poll","1","9",341,-0.235881116442994,0.813666529203699,1,"ns"
"id","poll","1","10",341,-0.0435531240981414,0.965286109305423,1,"ns"
"id","poll","1","11",341,-2.7778894258279,0.00577407168384592,0.38108873113383,"ns"
"id","poll","1","12",341,-6.89396501856432,2.63744913846718e-11,1.74071643138834e-09,"****"
"id","poll","1","13",341,-5.99145352227327,5.28545687357487e-09,3.48840153655941e-07,"****"
"id","poll","2","3",341,-0.0990961849212588,0.92112012936877,1,"ns"
"id","poll","2","4",341,0.0786607135920035,0.937348632587946,1,"ns"
"id","poll","2","5",341,0.617017824510715,0.53763471953908,1,"ns"
"id","poll","2","7",341,0.410839198212507,0.681448495066074,1,"ns"
"id","poll","2","8",341,0.461494862745294,0.644737849752783,1,"ns"
"id","poll","2","9",341,-0.243168323499113,0.80802121405555,1,"ns"
"id","poll","2","10",341,-0.0524233045123406,0.958222101564511,1,"ns"
"id","poll","2","11",341,-2.76454994515375,0.00601002686021684,0.396661772774312,"ns"
"id","poll","2","12",341,-6.84816847484822,3.49668144555371e-11,2.30780975406545e-09,"****"
"id","poll","2","13",341,-5.95209285142976,6.57582091878642e-09,4.34004180639904e-07,"****"
"id","poll","3","4",341,0.169271887887492,0.865683154905402,1,"ns"
"id","poll","3","5",341,0.659173891353943,0.510228992784819,1,"ns"
"id","poll","3","7",341,0.472053321408794,0.637190657709154,1,"ns"
"id","poll","3","8",341,0.51800927103117,0.604787714780672,1,"ns"
"id","poll","3","9",341,-0.12059220278506,0.904085067535336,1,"ns"
"id","poll","3","10",341,0.0522562401027698,0.958355119130735,1,"ns"
"id","poll","3","11",341,-2.40969201083117,0.0164951597270979,1,"ns"
"id","poll","3","12",341,-6.12552649671748,2.49105749800808e-09,1.64409794868533e-07,"****"
"id","poll","3","13",341,-5.30234006399372,2.05945144169303e-07,1.3592379515174e-05,"****"
"id","poll","4","5",341,0.528449462208168,0.597531166417881,1,"ns"
"id","poll","4","7",341,0.32429912231041,0.745910417689366,1,"ns"
"id","poll","4","8",341,0.373341303066957,0.709126422679924,1,"ns"
"id","poll","4","9",341,-0.318151927543688,0.750564447861564,1,"ns"
"id","poll","4","10",341,-0.130777419400758,0.896028502852645,1,"ns"
"id","poll","4","11",341,-2.79512786133974,0.0054815843623035,0.361784567912031,"ns"
"id","poll","4","12",341,-6.80904213045438,4.44451633337125e-11,2.93338078002503e-09,"****"
"id","poll","4","13",341,-5.927231009671,7.54443198517103e-09,4.97932511021288e-07,"****"
"id","poll","5","7",341,-0.21468233427006,0.830143323426561,1,"ns"
"id","poll","5","8",341,-0.169277291538668,0.86567890803632,1,"ns"
"id","poll","5","9",341,-0.863033665737274,0.388725530819215,1,"ns"
"id","poll","5","10",341,-0.673938306853398,0.500807105153797,1,"ns"
"id","poll","5","11",341,-3.35803925714811,0.000873683591315921,0.0576631170268508,"ns"
"id","poll","5","12",341,-7.40271502284132,1.05197034815548e-12,6.94300429782619e-11,"****"
"id","poll","5","13",341,-6.51845364534535,2.55775540569002e-10,1.68811856775541e-08,"****"
"id","poll","7","8",341,0.0478618443005784,0.961854367276225,1,"ns"
"id","poll","7","9",341,-0.659435063087814,0.510061521159334,1,"ns"
"id","poll","7","10",341,-0.467107070742962,0.64072159797021,1,"ns"
"id","poll","7","11",341,-3.19795727247721,0.00151371654620056,0.0999052920492372,"ns"
"id","poll","7","12",341,-7.3103999044642,1.91013064449209e-12,1.26068622536478e-10,"****"
"id","poll","7","13",341,-6.41152136892258,4.80178219435553e-10,3.16917624827465e-08,"****"
"id","poll","8","9",341,-0.712509913910691,0.4766363098611,1,"ns"
"id","poll","8","10",341,-0.518661518519905,0.60433320343213,1,"ns"
"id","poll","8","11",341,-3.27028041580846,0.00118405464641666,0.0781476066634993,"ns"
"id","poll","8","12",341,-7.41328698491717,9.82183439879982e-13,6.48241070320788e-11,"****"
"id","poll","8","13",341,-6.50882724713333,2.70782763350678e-10,1.78716623811448e-08,"****"
"id","poll","9","10",341,0.192327992344852,0.847599777393769,1,"ns"
"id","poll","9","11",341,-2.5439497507656,0.0114013952514869,0.752492086598133,"ns"
"id","poll","9","12",341,-6.66204857299699,1.08469269252189e-10,7.15897177064446e-09,"****"
"id","poll","9","13",341,-5.75751384721096,1.9049548591501e-08,1.25727020703906e-06,"****"
"id","poll","10","11",341,-2.73469476975237,0.00657003156340316,0.433622083184609,"ns"
"id","poll","10","12",341,-6.85114393188086,3.43333945603054e-11,2.26600404098016e-09,"****"
"id","poll","10","13",341,-5.94825886619773,6.71684335430099e-09,4.43311661383865e-07,"****"
"id","poll","11","12",341,-4.10714704221081,5.01966877979358e-05,0.00331298139466376,"**"
"id","poll","11","13",341,-3.187542906276,0.00156764175870187,0.103464356074324,"ns"
"id","poll","12","13",341,0.946732654013567,0.344445411894001,1,"ns"
