"grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5_Downstream","poll",32,0.035,4.035,0.836,1.609,1.09,1.068,0.189,0.385,"a"
"dry2dry5_Middlestream","poll",39,0.01,3.45,0.202,0.3,0.455,0.767,0.123,0.249,"b"
"dry2dry5_Upstream","poll",21,0.022,3.564,0.065,0.063,0.347,0.813,0.177,0.37,"bc"
"dry2wet5_Downstream","poll",12,0.221,1.333,0.5,0.786,0.706,0.424,0.123,0.27,"abc"
"dry2wet5_Middlestream","poll",16,0.083,0.694,0.192,0.136,0.259,0.178,0.045,0.095,"b"
"dry2wet5_Upstream","poll",9,0.025,0.165,0.109,0.055,0.1,0.043,0.014,0.033,"bc"
"other_Downstream","poll",52,0,4.733,0.366,1.448,1.015,1.261,0.175,0.351,"ac"
"other_Middlestream","poll",61,0,1.661,0.085,0.169,0.226,0.369,0.047,0.095,"b"
"other_Upstream","poll",32,0.008,0.241,0.069,0.064,0.081,0.055,0.01,0.02,"b"
"wet2wet5_Downstream","poll",24,0.075,4.222,1.107,1.543,1.437,1.062,0.217,0.448,"a"
"wet2wet5_Middlestream","poll",35,0.002,2.945,0.18,0.481,0.427,0.571,0.096,0.196,"b"
"wet2wet5_Upstream","poll",20,0.03,1.581,0.087,0.071,0.173,0.335,0.075,0.157,"b"
