"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",341,3.4610462802603,0.000606460438672503,0.0400263889523852,"*"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",341,3.43574317394866,0.000663909633174641,0.0438180357895263,"*"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",341,1.47249260590609,0.141810258127747,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",341,3.52521613620727,0.000480919820987516,0.031740708185176,"*"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",341,3.4087506847376,0.000730772337292277,0.0482309742612903,"*"
"grop","poll","dry2dry5_Downstream","other_Downstream",341,0.433068138935063,0.665239060686362,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",341,5.14362122546116,4.5551226134439e-07,3.00638092487298e-05,"****"
"grop","poll","dry2dry5_Downstream","other_Upstream",341,5.24704596161668,2.72140054000651e-07,1.7961243564043e-05,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",341,-1.67264979499557,0.0953134196718701,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",341,3.52036190616864,0.000489491301646008,0.0323064259086365,"*"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",341,4.180780639968,3.69719505620631e-05,0.00244014873709617,"**"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",341,0.51487192325536,0.606976088679378,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",341,-0.990819682106192,0.322476172047455,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",341,0.855041249398551,0.393128649522131,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",341,1.24560453105262,0.213764792324146,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",341,-3.43777100372704,0.000659124569826989,0.0435022216085812,"*"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",341,1.44956565498673,0.148098723000786,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",341,2.03857768027617,0.0422631833441023,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",341,-4.92292538407115,1.33048859644011e-06,8.78122473650475e-05,"****"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Middlestream",341,0.152475228497397,0.878902303694608,1,"ns"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Upstream",341,1.33143212014431,0.183936234337461,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Downstream",341,-1.28896011561911,0.198285666725889,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Middlestream",341,0.345016921895327,0.730294358392285,1,"ns"
"grop","poll","dry2dry5_Upstream","dry2wet5_Upstream",341,0.806372275144136,0.420590233290121,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Downstream",341,-3.35551719792042,0.000881429442835486,0.0581743432271421,"ns"
"grop","poll","dry2dry5_Upstream","other_Middlestream",341,0.623841167887168,0.533148986275912,1,"ns"
"grop","poll","dry2dry5_Upstream","other_Upstream",341,1.23516768138547,0.21761844440706,1,"ns"
