"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"id","poll","1","2",341,-0.178510302871415,0.858428236324451,1,"ns"
"id","poll","1","3",341,-1.07898439876377,0.281357292059458,1,"ns"
"id","poll","1","4",341,-2.44517045739126,0.0149837550061236,0.988927830404159,"ns"
"id","poll","1","5",341,-0.165881643011607,0.868348398917555,1,"ns"
"id","poll","1","7",341,-1.08645918161791,0.278043288390507,1,"ns"
"id","poll","1","8",341,-1.17065471205289,0.242555032761124,1,"ns"
"id","poll","1","9",341,-1.50435937197745,0.133414475406471,1,"ns"
"id","poll","1","10",341,-1.66821758779126,0.0961904645064977,1,"ns"
"id","poll","1","11",341,-3.36333067512169,0.000857637937976476,0.0566041039064474,"ns"
"id","poll","1","12",341,-8.67712332495537,1.69113581259589e-16,1.11614963631329e-14,"****"
"id","poll","1","13",341,-8.2091301731106,4.64138239029362e-15,3.06331237759379e-13,"****"
"id","poll","2","3",341,-0.911110778576816,0.362880614379828,1,"ns"
"id","poll","2","4",341,-2.25207137613154,0.0249534993872484,1,"ns"
"id","poll","2","5",341,0.0109965821857752,0.991232604257197,1,"ns"
"id","poll","2","7",341,-0.899006675803623,0.369283474311123,1,"ns"
"id","poll","2","8",341,-0.980970434014315,0.32730278107137,1,"ns"
"id","poll","2","9",341,-1.31346729993252,0.189908589619737,1,"ns"
"id","poll","2","10",341,-1.4759768655214,0.140872891356177,1,"ns"
"id","poll","2","11",341,-3.15903192861747,0.00172449224744946,0.113816488331664,"ns"
"id","poll","2","12",341,-8.43249981809628,9.69007943221529e-16,6.39545242526209e-14,"****"
"id","poll","2","13",341,-7.9655935379334,2.48280576460997e-14,1.63865180464258e-12,"****"
"id","poll","3","4",341,-1.15196762839655,0.250141361662777,1,"ns"
"id","poll","3","5",341,0.914704716647019,0.360993004195864,1,"ns"
"id","poll","3","7",341,0.102565025201537,0.918368489359238,1,"ns"
"id","poll","3","8",341,0.0353727748484323,0.971803190589839,1,"ns"
"id","poll","3","9",341,-0.273008994500469,0.785011561971679,1,"ns"
"id","poll","3","10",341,-0.420271164257913,0.674552073492244,1,"ns"
"id","poll","3","11",341,-1.95566398395321,0.0513210464170523,1,"ns"
"id","poll","3","12",341,-6.75912832735789,6.02680337737674e-11,3.97769022906865e-09,"****"
"id","poll","3","13",341,-6.31754756965126,8.2989406013331e-10,5.47730079687985e-08,"****"
"id","poll","4","5",341,2.24436574496375,0.0254497786590628,1,"ns"
"id","poll","4","7",341,1.3866934656073,0.16644109983949,1,"ns"
"id","poll","4","8",341,1.3234621591038,0.186568357258288,1,"ns"
"id","poll","4","9",341,0.979556461436575,0.327999543456427,1,"ns"
"id","poll","4","10",341,0.819918479367693,0.412835307982939,1,"ns"
"id","poll","4","11",341,-0.852016675458451,0.394802809082265,1,"ns"
"id","poll","4","12",341,-6.0547016011608,3.71233366484365e-09,2.45014021879681e-07,"****"
"id","poll","4","13",341,-5.57497953175297,5.04009079639928e-08,3.32645992562353e-06,"****"
"id","poll","5","7",341,-0.902316419870209,0.367525707183037,1,"ns"
"id","poll","5","8",341,-0.983525303372462,0.326046269058789,1,"ns"
"id","poll","5","9",341,-1.31319257736674,0.190001021373604,1,"ns"
"id","poll","5","10",341,-1.47429667743881,0.141324311588318,1,"ns"
"id","poll","5","11",341,-3.14314264375557,0.00181807507148933,0.119992954718296,"ns"
"id","poll","5","12",341,-8.37283828442997,1.47629352890167e-15,9.74353729075104e-14,"****"
"id","poll","5","13",341,-7.90879660183385,3.65365711886218e-14,2.41141369844904e-12,"****"
"id","poll","7","8",341,-0.0756067866495511,0.939776273341226,1,"ns"
"id","poll","7","9",341,-0.417900190359532,0.676283117779533,1,"ns"
"id","poll","7","10",341,-0.581758406173347,0.561113805867849,1,"ns"
"id","poll","7","11",341,-2.28581369644665,0.0228781781411678,1,"ns"
"id","poll","7","12",341,-7.60892526207354,2.72446309175475e-13,1.79814564055813e-11,"****"
"id","poll","7","13",341,-7.13161319443555,5.97482482318135e-12,3.94338438329969e-10,"****"
"id","poll","8","9",341,-0.345597013936306,0.729858690844783,1,"ns"
"id","poll","8","10",341,-0.510750571771775,0.609856213605083,1,"ns"
"id","poll","8","11",341,-2.22860921504228,0.0264913357688195,1,"ns"
"id","poll","8","12",341,-7.59273141759646,3.03217391302816e-13,2.00123478259858e-11,"****"
"id","poll","8","13",341,-7.11208069358119,6.75943647259561e-12,4.4612280719131e-10,"****"
"id","poll","9","10",341,-0.163858215813815,0.869939836409072,1,"ns"
"id","poll","9","11",341,-1.87135307231776,0.0621522158400654,1,"ns"
"id","poll","9","12",341,-7.19804910457701,3.92005359157707e-12,2.58723537044087e-10,"****"
"id","poll","9","13",341,-6.71715257030667,7.77623161400864e-11,5.1323128652457e-09,"****"
"id","poll","10","11",341,-1.70884350672887,0.0883898366455745,1,"ns"
"id","poll","10","12",341,-7.03694500450494,1.08409626573656e-11,7.1550353538613e-10,"****"
"id","poll","10","13",341,-6.55464300471778,2.06313796378691e-10,1.36167105609936e-08,"****"
"id","poll","11","12",341,-5.30035375652646,2.08025683481053e-07,1.37296951097495e-05,"****"
"id","poll","11","13",341,-4.80656160931593,2.30612530816898e-06,0.000152204270339153,"***"
"id","poll","12","13",341,0.534699798448185,0.593205924122244,1,"ns"
