"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",31,5.048,105.127,81.288,11.365,77.694,20.98,3.768,7.696,"a"
"2","poll",30,15.35,103.844,75.588,22.868,74.389,19.223,3.51,7.178,"a"
"3","poll",21,2.304,65.803,48.878,22.008,39.74,20.187,4.405,9.189,"bcd"
"4","poll",28,0.796,180.268,44.765,30.545,47.989,40.407,7.636,15.668,"b"
"5","poll",29,5.608,53.725,33.053,10.992,31.531,12.377,2.298,4.708,"cde"
"7","poll",31,7.531,54.528,43.596,7.595,41.1,11.202,2.012,4.109,"bc"
"8","poll",32,5.836,41.285,29.583,11.176,28.73,9.719,1.718,3.504,"cdef"
"9","poll",31,2.724,36.829,20.765,9.026,20.111,9.179,1.649,3.367,"ef"
"10","poll",31,7.29,38.033,27.811,14.176,24.47,9.123,1.639,3.346,"def"
"11","poll",30,0,33.338,17.904,17.283,15.481,11.066,2.02,4.132,"f"
"12","poll",29,5.997,26.377,15.459,6.553,15.308,5.113,0.949,1.945,"f"
"13","poll",30,5.825,26.444,15.449,6.772,15.109,5.052,0.922,1.886,"f"
