"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",20.08404298625,3.18607670693057,341,13.81720492589,26.35088104661,"Emmeans test"
"dry2dry5_Middlestream",44.7459667558976,2.88601718742443,341,39.0693293059385,50.4226042058567,"Emmeans test"
"dry2dry5_Upstream",73.5712412261908,3.93297847292462,341,65.8352883751229,81.3071940772587,"Emmeans test"
"dry2wet5_Downstream",17.6410419916667,5.20284147556459,341,7.40733829264326,27.87474569069,"Emmeans test"
"dry2wet5_Middlestream",38.267732078125,4.50579288970221,341,29.405084699968,47.1303794562819,"Emmeans test"
"dry2wet5_Upstream",54.8277412988889,6.00772385293628,341,43.0108781280129,66.6446044697649,"Emmeans test"
"other_Downstream",18.1123783923077,2.49936420006806,341,13.196266152569,23.0284906320464,"Emmeans test"
"other_Middlestream",32.624128755082,2.3076306528852,341,28.0851458821033,37.1631116280607,"Emmeans test"
"other_Upstream",76.6600344131251,3.18607670693057,341,70.3931963527652,82.9268724734851,"Emmeans test"
"wet2wet5_Downstream",13.4982591332676,3.67896448881032,341,6.26193785103432,20.7345804155008,"Emmeans test"
"wet2wet5_Middlestream",20.7869627997143,3.04647202532586,341,14.794719487868,26.7792061115607,"Emmeans test"
"wet2wet5_Upstream",49.157969742,4.03010367756374,341,41.2309769427323,57.0849625412677,"Emmeans test"
