"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",357.835,16.9276257639664,213,324.467875427399,391.202124572602,"Emmeans test"
"dry2dry5_Middlestream",238.15,15.5338547493063,213,207.530226516104,268.769773483895,"Emmeans test"
"dry2dry5_Upstream",171.800833333332,19.5463385831345,213,133.271796625181,210.329870041483,"Emmeans test"
"dry2wet5_Downstream",309.048333333333,19.5463385831344,213,270.519296625182,347.577370041483,"Emmeans test"
"dry2wet5_Middlestream",240.823333333332,17.4827767132463,213,206.361915258528,275.284751408136,"Emmeans test"
"dry2wet5_Upstream",171.019999999999,22.5701676852885,213,126.530500569863,215.509499430135,"Emmeans test"
"other_Downstream",379.630555555556,11.2850838426442,213,357.385805840488,401.875305270623,"Emmeans test"
"other_Middlestream",251.905238095238,10.4479574491385,213,231.310601694618,272.499874495857,"Emmeans test"
"other_Upstream",155.268571428571,14.7756431236687,213,126.143357318672,184.39378553847,"Emmeans test"
"wet2wet5_Downstream",308.316666666667,19.5463385831345,213,269.787629958516,346.845703374818,"Emmeans test"
"wet2wet5_Middlestream",167.798900000001,15.1405287623622,213,137.954436496784,197.643363503217,"Emmeans test"
"wet2wet5_Upstream",120.345909090909,20.4154848184108,213,80.1036427125934,160.588175469224,"Emmeans test"
