"term",".y.","group1","group2","df","statistic","p","p.adj","p.adj.signif"
"grop","poll","dry2dry5_Downstream","dry2dry5_Middlestream",213,5.20938497801779,4.46128046125724e-07,2.94444510442978e-05,"****"
"grop","poll","dry2dry5_Downstream","dry2dry5_Upstream",213,7.19462680612198,1.05170986303065e-11,6.94128509600226e-10,"****"
"grop","poll","dry2dry5_Downstream","dry2wet5_Downstream",213,1.88676019072487,0.0605528552216226,1,"ns"
"grop","poll","dry2dry5_Downstream","dry2wet5_Middlestream",213,4.80837022105303,2.87446319907582e-06,0.000189714571139004,"***"
"grop","poll","dry2dry5_Downstream","dry2wet5_Upstream",213,6.62166103876203,2.84443790813978e-10,1.87732901937225e-08,"****"
"grop","poll","dry2dry5_Downstream","other_Downstream",213,-1.07132557560791,0.285235457041083,1,"ns"
"grop","poll","dry2dry5_Downstream","other_Middlestream",213,5.32515919483993,2.55436714652536e-07,1.68588231670673e-05,"****"
"grop","poll","dry2dry5_Downstream","other_Upstream",213,9.01530050244943,1.15235823731756e-16,7.60556436629592e-15,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Downstream",213,1.91505643709434,0.0568248750999002,1,"ns"
"grop","poll","dry2dry5_Downstream","wet2wet5_Middlestream",213,8.36765580131343,7.74257994463035e-15,5.11010276345603e-13,"****"
"grop","poll","dry2dry5_Downstream","wet2wet5_Upstream",213,8.95492754874072,1.71581790519735e-16,1.13243981743025e-14,"****"
"grop","poll","dry2dry5_Middlestream","dry2dry5_Upstream",213,2.65745554838634,0.00847011705965474,0.559027725937213,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Downstream",213,-2.83966142686556,0.00495363693055028,0.326940037416319,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Middlestream",213,-0.114308899765307,0.909100604617492,1,"ns"
"grop","poll","dry2dry5_Middlestream","dry2wet5_Upstream",213,2.45007650862475,0.0150894358224051,0.995902764278735,"ns"
"grop","poll","dry2dry5_Middlestream","other_Downstream",213,-7.36864140700468,3.74398853857168e-12,2.47103243545731e-10,"****"
"grop","poll","dry2dry5_Middlestream","other_Middlestream",213,-0.73476523537241,0.463290648657762,1,"ns"
"grop","poll","dry2dry5_Middlestream","other_Upstream",213,3.86596252531779,0.000146945648978581,0.00969841283258635,"**"
"grop","poll","dry2dry5_Middlestream","wet2wet5_Downstream",213,-2.81035628649102,0.0054098674979986,0.357051254867907,"ns"
